algorithm,pBug,pValid,times,precision_avg,recall_avg,auc_avg,wasted_avg,tests_avg,files_avg,bugged_avg
uniform,0,0,10,0.463702322735,0.394183437779,0.824166666667,1.25,8.95,12.85,1.3
randomForest,0,0,10,0.569294997539,0.498594203996,0.83246031746,1.95,8.95,12.85,1.3
0.0,0.6,0.0,10,0.959742831606,0.86119176673,0.991666666667,0.15,8.95,12.85,1.3
0.1,0.6,0.1,10,0.748512146619,0.662478693594,0.95625,0.25,8.95,12.85,1.3
0.2,0.6,0.2,10,0.633915855164,0.557643008026,0.902083333333,0.5,8.95,12.85,1.3
uniform,0,0,20,0.501681930185,0.428013200156,0.829527647563,2.6,15.95,22.15,1.5
randomForest,0,0,20,0.55199273516,0.475168201482,0.776879288977,4.35,15.95,22.15,1.5
0.0,0.6,0.0,20,0.950958584394,0.851995553696,0.92418042534,2.0,15.95,22.15,1.5
0.1,0.6,0.1,20,0.771069381855,0.680307248011,0.89918042534,2.1,15.95,22.15,1.5
0.2,0.6,0.2,20,0.645792963997,0.564048701829,0.84918042534,2.4,15.95,22.15,1.5
uniform,0,0,30,0.496348847406,0.415960588286,0.82630908491,3.1,23.2,27.0,1.5
randomForest,0,0,30,0.57239118189,0.478279717626,0.772263037004,5.35,23.2,27.0,1.5
0.0,0.6,0.0,30,0.98099537662,0.873403720325,0.924225751577,2.65,23.2,27.0,1.5
0.1,0.6,0.1,30,0.795788106576,0.695543817896,0.911725751577,2.7,23.2,27.0,1.5
0.2,0.6,0.2,30,0.654387545804,0.561843537461,0.836725751577,3.0,23.2,27.0,1.5
uniform,0,0,40,0.497341021444,0.416952762325,0.826354374765,3.1,26.55,28.2,1.5
randomForest,0,0,40,0.576114125279,0.482002661016,0.772586104637,5.3,26.55,28.2,1.5
0.0,0.6,0.0,40,0.981494005621,0.873902349327,0.924271041432,2.65,26.55,28.2,1.5
0.1,0.6,0.1,40,0.797425451844,0.697181163164,0.911771041432,2.7,26.55,28.2,1.5
0.2,0.6,0.2,40,0.655164857902,0.562620849558,0.836771041432,3.0,26.55,28.2,1.5
