0,P,0.4378674572111823
16,23,P,0.3001425894023654
11,23,P,0.07503564735347419
3,23,P,0.02010342918267643
10,23,P,0.014733095677198969
22,23,P,0.0147330956771436
18,23,P,0.012997652925406281
8,23,P,0.012997652924431854
14,23,P,0.012997652924431854
21,23,P,0.012997650892003795
9,23,P,0.01162813838080373
12,23,P,0.009604443564849652
17,23,P,0.008180849859787603
19,23,P,0.007616425501752116
1,23,P,0.0076164227818332165
20,23,P,0.007616411318302364
6,23,P,0.0071248673796080195
15,23,P,0.006692919314967113
2,23,P,0.006692910518961639
5,23,P,0.006310344806032646
4,23,P,0.006310342402787203
