algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.608666666667,0.285725,6.4,9.35,11.8,2.8,2.0,9.35
randomForest,0,0,10,0.89,0.419041666667,2.75,9.35,11.8,2.8,2.0,9.35
0.0,0.6,0.0,10,0.952416666667,0.426683333333,1.9,9.35,11.8,2.8,2.0,9.35
0.1,0.6,0.1,10,0.827833333333,0.392883333333,4.5,9.35,11.8,2.8,2.0,9.35
0.2,0.6,0.2,10,0.7375,0.379416666667,6.25,9.35,11.8,2.8,2.0,9.35
uniform,0,0,20,0.555916666667,0.241608333333,7.3,14.9,18.2,3.25,3.95,14.9
randomForest,0,0,20,0.83925,0.396175,4.85,14.9,18.2,3.25,3.95,14.9
0.0,0.6,0.0,20,0.943166666667,0.414808333333,1.25,14.9,18.2,3.25,3.95,14.9
0.1,0.6,0.1,20,0.81675,0.376725,5.9,14.9,18.2,3.25,3.95,14.9
0.2,0.6,0.2,20,0.700166666667,0.352083333333,8.05,14.9,18.2,3.25,3.95,14.9
uniform,0,0,30,0.56175,0.227091666667,8.85,17.55,21.3,3.45,3.95,17.55
randomForest,0,0,30,0.825583333333,0.355675,6.05,17.55,21.3,3.45,3.95,17.55
0.0,0.6,0.0,30,0.937333333333,0.371325,1.55,17.55,21.3,3.45,3.95,17.55
0.1,0.6,0.1,30,0.7645,0.325558333333,6.8,17.55,21.3,3.45,3.95,17.55
0.2,0.6,0.2,30,0.651041666667,0.300091666667,9.25,17.55,21.3,3.45,3.95,17.55
uniform,0,0,40,0.533,0.219433333333,7.75,19.75,22.15,3.45,5.7,19.75
randomForest,0,0,40,0.800333333333,0.355666666667,7.25,19.75,22.15,3.45,5.7,19.75
0.0,0.6,0.0,40,0.9355,0.414058333333,0.6,19.75,22.15,3.45,5.7,19.75
0.1,0.6,0.1,40,0.769083333333,0.3555,7.05,19.75,22.15,3.45,5.7,19.75
0.2,0.6,0.2,40,0.654,0.313258333333,9.1,19.75,22.15,3.45,5.7,19.75
