0,P,0.8641023947836506
19,P,0.023084702523674238
1,P,0.023084702523674238
7,10,P,0.017140391828667643
3,P,0.009738858941356598
18,P,0.009738858941356598
2,P,0.005385199461465813
13,P,0.005385199461465813
7,9,P,0.004285097956570613
7,17,P,0.004285097956570613
6,7,P,0.004285097956046344
10,15,P,0.004285097949029284
10,11,P,0.004285097949029284
5,P,0.003419955968409514
4,10,P,0.00253931730824874
10,14,P,0.0025393173058113425
8,10,P,0.0018077757008243692
7,12,P,0.0018077756983553488
10,16,P,0.0011480565052778766
11,17,P,0.0010712744894183562
9,15,P,0.0010712744894180977
9,11,P,0.0010712744894180977
6,15,P,0.0010712744894180977
6,11,P,0.0010712744894180977
9,14,P,6.348293269898546E-4
6,14,P,6.34829326989854E-4
11,12,P,4.519439251074253E-4
9,16,P,2.8701412716833455E-4
6,16,P,2.8701412716833455E-4
