0,P,0.7077946440120451
7,10,P,0.051170071993739186
19,P,0.03609881578992697
1,P,0.03609881578992697
3,P,0.015229188011739619
18,P,0.015229188011739619
7,9,P,0.012792517996654639
7,17,P,0.012792517996654639
6,7,P,0.012792517995089512
10,15,P,0.012792517974141129
10,11,P,0.012792517974141129
2,P,0.008421131836206441
13,P,0.008421131836206441
4,10,P,0.007580751407369446
10,14,P,0.007580751400092963
8,10,P,0.005396843531021297
7,12,P,0.005396843523650406
5,P,0.005347972770568178
10,16,P,0.00342735070558279
11,17,P,0.0031981294999867287
9,15,P,0.0031981294999859577
9,11,P,0.0031981294999859577
6,15,P,0.0031981294999859577
6,11,P,0.0031981294999859577
9,14,P,0.0018951878516264304
6,14,P,0.0018951878516264282
11,12,P,0.0013492108824607687
9,16,P,8.568376789298581E-4
6,16,P,8.568376789298581E-4
