1,P,0.5256302099568883
7,P,0.05543756052506247
8,9,P,0.05256302129625767
6,9,P,0.05256302129624828
6,8,P,0.05256302129624828
9,10,P,0.052563021293911466
8,13,P,0.052563021293911466
0,6,P,0.052563021291388436
4,P,0.018165780143786836
3,6,P,0.013140755323969158
6,11,P,0.013140755318777479
9,12,P,0.01314075531047423
6,12,P,0.01314075531047423
2,P,0.00821297206580091
12,13,P,0.007787114265944805
5,8,P,0.007787114264799822
0,10,13,P,0.005256302129126229
10,11,13,P,0.0013140755315705808
3,10,13,P,0.001314075527798848
5,12,P,0.0011536465575605285
