0,P,0.9934124295619041
1,23,P,0.0024835310927774053
1,22,P,0.001471722128860734
21,P,0.0011865254534360495
6,P,8.057459850547071E-4
27,P,2.1587416113843795E-4
1,10,P,9.835766704315297E-5
1,12,P,9.83576670417669E-5
1,18,P,9.835766673705426E-5
17,P,3.842096361551487E-5
1,7,P,2.4589416759919545E-5
5,P,2.031026639619663E-5
1,47,P,1.0373660195955274E-5
9,P,7.268000019968153E-6
1,42,P,6.587947458173905E-6
1,48,P,5.572235205659817E-6
1,43,P,5.572235205659817E-6
1,39,P,4.828081609640595E-6
1,46,P,3.810577545752552E-6
1,38,P,1.7652319936416526E-6
