[Priors]
[0.61, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11]
[Bugs]
0
[InitialTests]
0
10
1
2
[TestDetails]
0;[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 15, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 32];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 15, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 32];1
1;[21, 22, 23, 30];[21, 22, 23, 30];0
2;[2, 3, 4, 5, 6, 7, 8, 9, 12, 15, 16, 17, 18, 20, 24, 25, 26, 28, 31];[2, 3, 4, 5, 6, 7, 8, 9, 12, 15, 16, 17, 18, 20, 24, 25, 26, 28, 31];0
3;[22];[22];0
4;[22];[22];0
5;[22];[22];0
6;[9, 18];[9, 18];0
7;[22];[22];0
8;[3, 8, 9, 10, 12, 16, 20, 28, 29, 31];[3, 8, 9, 10, 12, 16, 20, 28, 29, 31];0
9;[3, 4, 5, 6, 8, 9, 12, 13, 16, 17, 18, 26, 31];[3, 4, 5, 6, 8, 9, 12, 13, 16, 17, 18, 26, 31];0
10;[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 13, 14, 16, 18, 24, 25, 26, 27, 28, 29, 31, 32];[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 13, 14, 16, 18, 24, 25, 26, 27, 28, 29, 31, 32];1
11;[21, 22, 23, 30];[21, 22, 23, 30];0
12;[23];[23];0
13;[22];[22];0
14;[22, 30];[22, 30];0
15;[22, 30];[22, 30];0
16;[22];[22];0
17;[21, 22, 23, 30];[21, 22, 23, 30];0
18;[23];[23];0
19;[31];[31];0
20;[0, 6, 7, 8, 9, 18, 19, 21, 22, 23, 25, 26, 27, 30, 33];[0, 6, 7, 8, 9, 18, 19, 21, 22, 23, 25, 26, 27, 30, 33];1
21;[22];[22];0
22;[22];[22];0
23;[21, 22, 23, 30];[21, 22, 23, 30];0
24;[22];[22];0
25;[3, 5, 8, 9, 12, 16, 18, 20, 25, 26, 27, 28, 29, 31, 32];[3, 5, 8, 9, 12, 16, 18, 20, 25, 26, 27, 28, 29, 31, 32];0
26;[22];[22];0
27;[21, 22, 23, 30];[21, 22, 23, 30];0
28;[22, 30];[22, 30];0
29;[22];[22];0
30;[0, 6, 7, 8, 9, 18, 21, 22, 23, 25, 26, 27, 30];[0, 6, 7, 8, 9, 18, 21, 22, 23, 25, 26, 27, 30];0
