algorithm,pBug,pValid,times,index,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0,0.55,0.55,9.0,11.0,20,1,2.0,11.0
uniform,0,0,10,1,0,0,0,0,2,2,0,0
uniform,0,0,10,2,0,0,0,0,12,3,0,0
uniform,0,0,10,3,0,0,0,0,8,4,0,0
uniform,0,0,10,4,0.738333333333,0.22,7.0,9.0,17,4,2.0,9.0
uniform,0,0,10,5,0,0,0,0,8,1,0,0
uniform,0,0,10,6,0.25,0.125,9.0,11.0,39,2,2.0,11.0
uniform,0,0,10,7,0,0,0,0,10,4,0,0
uniform,0,0,10,8,0.07,0.07,9.0,11.0,24,1,2.0,11.0
uniform,0,0,10,9,0.575,0.146,9.0,11.0,19,5,2.0,11.0
uniform,0,0,10,10,0.61,0.61,9.0,11.0,25,1,2.0,11.0
uniform,0,0,10,11,0,0,0,0,3,2,0,0
uniform,0,0,10,12,0,0,0,0,2,2,0,0
uniform,0,0,10,13,0.4,0.135,9.0,11.0,20,6,2.0,11.0
uniform,0,0,10,14,0.11,0.11,9.0,11.0,12,1,2.0,11.0
uniform,0,0,10,15,0.69,0.13125,9.0,11.0,15,8,2.0,11.0
uniform,0,0,10,16,0.68,0.355,5.0,7.0,11,2,2.0,7.0
uniform,0,0,10,17,0.64,0.34,3.0,5.0,14,2,2.0,5.0
uniform,0,0,10,18,0,0,0,0,10,6,0,0
uniform,0,0,10,19,0.58,0.305,4.0,6.0,14,2,2.0,6.0
randomForest,0,0,10,0,0,0,0,0,20,1,0,0
randomForest,0,0,10,1,0,0,0,0,2,2,0,0
randomForest,0,0,10,2,0.44,0.196666666667,9.0,11.0,12,3,2.0,11.0
randomForest,0,0,10,3,0,0,0,0,8,4,0,0
randomForest,0,0,10,4,0,0,0,0,17,4,0,0
randomForest,0,0,10,5,0,0,0,0,8,1,0,0
randomForest,0,0,10,6,0.57,0.285,9.0,11.0,39,2,2.0,11.0
randomForest,0,0,10,7,0,0,0,0,10,4,0,0
randomForest,0,0,10,8,0.48,0.48,9.0,11.0,24,1,2.0,11.0
randomForest,0,0,10,9,0,0,0,0,19,5,0,0
randomForest,0,0,10,10,0,0,0,0,25,1,0,0
randomForest,0,0,10,11,0,0,0,0,3,2,0,0
randomForest,0,0,10,12,0,0,0,0,2,2,0,0
randomForest,0,0,10,13,0.495,0.165,9.0,11.0,20,6,2.0,11.0
randomForest,0,0,10,14,0,0,0,0,12,1,0,0
randomForest,0,0,10,15,0,0,0,0,15,8,0,0
randomForest,0,0,10,16,0,0,0,0,11,2,0,0
randomForest,0,0,10,17,0,0,0,0,14,2,0,0
