algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.6005,0.292445833333,5.85,8.15,14.25,2.95,1.8,8.15
randomForest,0,0,10,0.646666666667,0.332729166667,3.0,8.15,14.25,2.95,1.8,8.15
0.0,0.6,0.0,10,0.926,0.4797625,2.25,8.15,14.25,2.95,1.8,8.15
0.1,0.6,0.1,10,0.79,0.407341666667,4.85,8.15,14.25,2.95,1.8,8.15
0.2,0.6,0.2,10,0.7145,0.372554166667,5.85,8.15,14.25,2.95,1.8,8.15
uniform,0,0,20,0.530583333333,0.246520833333,10.05,14.8,27.2,3.65,3.9,14.8
randomForest,0,0,20,0.622333333333,0.3321875,3.9,14.8,27.2,3.65,3.9,14.8
0.0,0.6,0.0,20,0.9225,0.479720833333,2.8,14.8,27.2,3.65,3.9,14.8
0.1,0.6,0.1,20,0.797083333333,0.427375,7.45,14.8,27.2,3.65,3.9,14.8
0.2,0.6,0.2,20,0.691916666667,0.3735625,9.9,14.8,27.2,3.65,3.9,14.8
uniform,0,0,30,0.536166666667,0.227295833333,13.3,20.95,31.85,3.8,3.9,20.95
randomForest,0,0,30,0.618916666667,0.3217,4.8,20.95,31.85,3.8,3.9,20.95
0.0,0.6,0.0,30,0.907583333333,0.449325,3.2,20.95,31.85,3.8,3.9,20.95
0.1,0.6,0.1,30,0.742083333333,0.371941666667,9.95,20.95,31.85,3.8,3.9,20.95
0.2,0.6,0.2,30,0.647916666667,0.312745833333,14.3,20.95,31.85,3.8,3.9,20.95
uniform,0,0,40,0.511083333333,0.2380125,14.9,23.6,33.7,3.8,5.85,23.6
randomForest,0,0,40,0.659583333333,0.383345833333,4.85,23.6,33.7,3.8,5.85,23.6
0.0,0.6,0.0,40,0.9225,0.4574125,2.15,23.6,33.7,3.8,5.85,23.6
0.1,0.6,0.1,40,0.753,0.374379166667,9.75,23.6,33.7,3.8,5.85,23.6
0.2,0.6,0.2,40,0.649416666667,0.318570833333,12.65,23.6,33.7,3.8,5.85,23.6
