algorithm,pBug,pValid,times,precision_avg,recall_avg,auc_avg,wasted_avg,tests_avg,files_avg,bugged_avg
uniform,0,0,10,0.745346870977,0.420045428639,0.807516339869,1.47058823529,10.3529411765,9.94117647059,2.23529411765
randomForest,0,0,10,0.838423346376,0.533171392328,0.800011671335,1.88235294118,10.3529411765,9.94117647059,2.23529411765
0.0,0.6,0.0,10,0.992442420581,0.595477860714,0.940359477124,0.647058823529,10.3529411765,9.94117647059,2.23529411765
0.1,0.6,0.1,10,0.921922592536,0.566986766832,0.940359477124,0.647058823529,10.3529411765,9.94117647059,2.23529411765
0.2,0.6,0.2,10,0.859904991141,0.539646548426,0.942973856209,0.588235294118,10.3529411765,9.94117647059,2.23529411765
uniform,0,0,20,0.764278424066,0.322020871962,0.684907485638,9.41176470588,19.1176470588,18.9411764706,3.35294117647
randomForest,0,0,20,0.838975251032,0.376506806916,0.651512170442,9.52941176471,19.1176470588,18.9411764706,3.35294117647
0.0,0.6,0.0,20,0.989857537864,0.436141494091,0.730183777974,9.17647058824,19.1176470588,18.9411764706,3.35294117647
0.1,0.6,0.1,20,0.907930877662,0.405843246146,0.730942414762,9.11764705882,19.1176470588,18.9411764706,3.35294117647
0.2,0.6,0.2,20,0.845329290311,0.383945716631,0.730942414762,9.11764705882,19.1176470588,18.9411764706,3.35294117647
uniform,0,0,30,0.758682648554,0.270978508755,0.610067730976,11.4117647059,26.6470588235,26.3529411765,4.05882352941
randomForest,0,0,30,0.797587665519,0.303120792753,0.581478795402,11.5882352941,26.6470588235,26.3529411765,4.05882352941
0.0,0.6,0.0,30,0.989394870116,0.369579296734,0.655101577848,11.1176470588,26.6470588235,26.3529411765,4.05882352941
0.1,0.6,0.1,30,0.904376834602,0.343150087277,0.655101577848,11.1176470588,26.6470588235,26.3529411765,4.05882352941
0.2,0.6,0.2,30,0.836701639635,0.322751265491,0.655101577848,11.1176470588,26.6470588235,26.3529411765,4.05882352941
uniform,0,0,40,0.760289469386,0.271926359731,0.606144860116,11.9411764706,29.2352941176,27.7058823529,4.05882352941
randomForest,0,0,40,0.799016906497,0.303928277249,0.577555924542,12.1176470588,29.2352941176,27.7058823529,4.05882352941
0.0,0.6,0.0,40,0.989521876067,0.369649108816,0.651178706988,11.6470588235,29.2352941176,27.7058823529,4.05882352941
0.1,0.6,0.1,40,0.905169253085,0.343586839794,0.651178706988,11.6470588235,29.2352941176,27.7058823529,4.05882352941
0.2,0.6,0.2,40,0.837878595444,0.32338831285,0.651178706988,11.6470588235,29.2352941176,27.7058823529,4.05882352941
