0,P,0.5298883152359191
33,34,P,0.05298883182659565
30,34,P,0.05298883182658618
30,33,P,0.05298883182658618
1,30,P,0.05298883182168697
22,33,P,0.052988831821686865
16,P,0.018312939791868415
12,P,0.018312939791868415
9,30,P,0.01324720795655288
26,30,P,0.013247207955830552
19,30,P,0.013247207955830552
28,30,P,0.013247207955675825
30,31,P,0.013247207942948631
33,36,P,0.013247207941923272
7,P,0.008279504961071119
2,P,0.008279504961071119
18,30,P,0.007850197306876402
13,30,P,0.00785019730541285
29,30,P,0.00785019730391516
14,33,P,0.005588665856683496
17,30,P,0.004340845103193513
25,30,P,0.004340845100741924
20,30,P,0.004340845100741924
23,33,P,0.0035491705129692976
21,30,P,0.0035491705128450333
23,30,P,0.0035491705113424644
15,30,P,0.0035491705094791138
30,37,P,0.0035491705048111507
27,P,0.002664883524155934
24,P,0.0026648835241559338
6,P,0.0017229513963695712
5,P,0.0011782416985889259
35,P,0.0011782416985889259
4,P,8.412953095793791E-4
3,P,8.412953095793791E-4
11,P,8.412953095793791E-4
10,P,3.6734584488476934E-4
8,P,2.913091818042405E-4
