1,P,0.9975946274006823
49,P,0.0013397203559738242
27,48,P,1.6354010409942767E-4
27,52,P,1.6354010409936882E-4
27,55,P,1.6354010409712783E-4
27,50,P,1.6354010409712303E-4
6,27,P,1.6354010403741716E-4
27,54,P,1.635401039072413E-4
27,47,P,4.088502602476814E-5
27,32,P,7.0820921429490335E-6
4,27,P,5.23321833090622E-6
27,59,P,4.8143276339506915E-6
10,27,P,4.457541036804943E-6
8,27,P,4.457541033958791E-6
9,27,P,3.4383558449236643E-6
27,58,P,2.935073406092034E-6
22,P,2.727814829094055E-6
26,P,2.023575745121336E-6
29,P,1.5328374084885052E-6
31,P,1.5328374084885046E-6
24,P,1.1823652107023499E-6
18,P,1.1823652107023499E-6
23,P,9.266477396564647E-7
