2,P,0.5547898350804277
3,58,P,0.1165058662535114
3,28,P,0.11650586589257211
3,17,P,0.02912646656366063
3,20,P,0.029126466563057878
3,47,P,0.01726012833140579
3,16,P,0.017260128324443916
19,P,0.015646163744816262
3,41,P,0.012287728081603277
3,43,P,0.009544160563478898
3,29,P,0.009544160562424246
3,25,P,0.009544160562343262
3,49,P,0.006600381133602664
3,51,P,0.006600381129558718
3,27,P,0.0057189220425539625
3,36,P,0.005045278033949905
3,31,P,0.005045278025615442
3,11,P,0.004513675962672228
3,8,P,0.004513675953854858
3,30,P,0.004513675937760083
3,23,P,0.0037281413839998015
3,38,P,0.0031755493437368625
3,9,P,0.002956455893357979
3,15,P,0.0027656481964939885
3,4,P,0.0024494819083282827
3,61,P,0.0021981951252507174
3,62,P,0.00219819480386341
52,P,3.9438951360982983E-4
60,P,2.2812108293570986E-4
39,P,9.200317041957318E-5
45,P,6.254273962148202E-5
13,P,4.4001286997012657E-5
18,P,3.216255657912337E-6
7,P,2.7117082949776548E-6
22,P,2.7117082949776548E-6
14,P,2.3023568178686265E-6
12,P,1.9673895032855002E-6
10,P,1.9673895032855002E-6
