1,P,0.9791442506123957
3,13,P,0.01375368604865971
13,28,P,0.0027329630316306032
4,P,0.002337157250515944
13,21,P,9.191819886481881E-4
13,22,P,2.2979549713792388E-4
13,24,P,2.29795497072983E-4
13,29,P,2.2979549192992773E-4
13,25,P,1.3617510942932944E-4
13,20,P,6.156643665084558E-5
13,23,P,4.51198750505764E-5
13,18,P,3.5610993269144423E-5
10,P,2.7620341402861425E-5
13,26,P,2.7059065635079216E-5
11,13,P,2.3325179732316142E-5
30,P,2.3140170797187563E-5
14,P,1.9579288986952607E-5
7,P,1.671341387840875E-5
8,P,7.464707176226324E-6
