1,P,0.488262786286472
20,P,0.07233522700062144
18,P,0.07233522700062144
11,P,0.07233522700062144
0,2,P,0.04882627880892724
22,P,0.030516424091998076
21,P,0.030516424091998076
16,P,0.030516424091998076
9,P,0.01687436193250774
10,P,0.01687436193250774
0,12,P,0.012206569700533193
2,13,P,0.012206569679050889
3,P,0.010716330048149045
25,P,0.010716330048149045
24,P,0.007411009298811542
15,P,0.007411009298811542
0,4,P,0.007233522780403838
14,P,0.0054312678918429285
0,5,P,0.005149646586507618
2,7,P,0.005149646581466663
2,19,P,0.005149646581466663
0,8,P,0.005149646514797841
2,17,P,0.003999848609547957
0,23,P,0.00399984856335353
12,13,P,0.003051642425918656
2,6,P,0.002396733389710736
4,13,P,0.0018083799037329508
12,19,P,0.001287411648372682
5,13,P,0.001275704409438231
8,13,P,0.0012757044094382083
7,12,P,0.0012757044094381953
12,17,P,9.99962189966051E-4
13,23,P,9.999621899649178E-4
4,19,P,7.629106064529882E-4
6,12,P,5.991837401695335E-4
4,17,P,5.925701867056121E-4
8,19,P,5.424594615294574E-4
5,19,P,5.424594615294478E-4
5,17,P,4.2185904882215765E-4
8,17,P,4.218590488221576E-4
7,23,P,4.2185904882215743E-4
