2,P,0.9885208918940841
1,8,P,0.009885208974551255
8,31,P,1.6205260615522268E-4
8,14,P,1.6205260615519674E-4
7,P,1.3601082320247114E-4
19,P,8.149855456386258E-5
22,P,5.269200096825793E-5
8,65,P,4.051315153433985E-5
8,56,P,4.051315153433985E-5
8,64,P,4.0513151493677097E-5
8,30,P,4.0513151493677097E-5
8,47,P,4.051315121132946E-5
8,33,P,4.051315121132946E-5
8,21,P,4.051315121132946E-5
17,P,3.603346806396813E-5
16,P,2.572883620262298E-5
8,69,P,2.400779350411385E-5
8,55,P,2.400779350411385E-5
6,8,P,2.4007793503808033E-5
8,75,P,2.4007793499232937E-5
8,58,P,2.4007793499232937E-5
8,43,P,2.4007793460484046E-5
8,41,P,2.4007793460484046E-5
8,76,P,2.400779346048404E-5
8,66,P,2.400779346048404E-5
18,P,1.901198295923218E-5
8,77,P,1.7091485804720985E-5
8,53,P,1.7091485804720985E-5
8,46,P,1.7091485804720985E-5
8,12,P,1.7091485804720985E-5
8,35,P,1.709148580458793E-5
8,57,P,1.709148580401307E-5
3,8,P,1.7091485800683023E-5
8,50,P,1.7091485656472072E-5
80,P,1.444628574968428E-5
5,P,1.444628574968428E-5
8,79,P,1.3275349494661514E-5
8,36,P,1.3275349494661514E-5
8,42,P,1.3275349493809626E-5
8,74,P,1.3275349457148163E-5
8,70,P,1.3275349457148163E-5
8,54,P,1.3275349457148163E-5
8,32,P,1.3275349457148163E-5
20,P,1.1234320416548816E-5
4,8,P,1.0854217982508932E-5
8,67,P,1.085421797913995E-5
8,10,P,1.085421797913995E-5
8,48,P,1.0854217978951451E-5
8,73,P,1.0854217964723745E-5
8,13,P,1.0854217964723745E-5
8,71,P,1.0854217958936181E-5
8,51,P,9.180730565192235E-6
8,34,P,9.18073055627801E-6
8,61,P,7.954674305819849E-6
8,63,P,7.954674281327115E-6
8,52,P,7.017676262297454E-6
8,62,P,7.017676262275986E-6
8,44,P,7.017676262275986E-6
8,78,P,7.017676163678475E-6
8,11,P,6.278249978719999E-6
8,81,P,4.770537093022383E-6
