1,20,P,0.44559269389770445
0,1,30,P,0.06795288583005445
0,1,33,P,0.0679528858300326
0,1,32,P,0.040268376728489395
0,1,35,P,0.04026837672321155
0,1,86,P,0.04026837668487738
0,1,85,P,0.02866762364088664
0,1,36,P,0.028667622537837095
1,15,P,0.02784954337632276
0,1,25,P,0.02226680157779472
0,1,29,P,0.018205825044599645
0,1,40,P,0.018205813691866767
0,1,31,P,0.015398878933861715
0,1,21,P,0.013342389619915221
0,1,80,P,0.011770766165088157
0,1,68,P,0.010530402975473026
0,1,72,P,0.007397583173527497
0,1,28,P,0.006412728282070979
0,1,22,P,0.006021748447849397
0,1,42,P,0.005682228622380432
0,1,38,P,0.0056717728862914
0,1,24,P,0.0053004169315186405
0,1,70,P,0.0050716111541723695
0,1,69,P,0.004815435653375304
0,1,76,P,0.00460373028217502
0,1,74,P,0.004561966164425633
0,1,75,P,0.004359963193680829
0,1,26,P,0.004331940131620753
0,1,77,P,0.004171458060309531
0,1,71,P,0.004165180711080302
0,1,73,P,0.003998793081273746
0,1,78,P,0.00398346148704064
0,1,79,P,0.0037887699764684282
0,1,23,P,0.0036314272856683705
0,1,41,P,0.0033956558337854287
0,1,82,P,0.003317418808621669
0,1,43,P,0.003311718717176114
34,P,0.002853436815913003
37,P,0.0015083968860298337
1,11,P,3.858665539350648E-4
39,P,2.6477258818634257E-5
44,P,2.1550342775490187E-5
