algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.400384615385,0.400384615385,6.69230769231,8.69230769231,25.1538461538,1.07692307692,2.0,8.69230769231
randomForest,0,0,10,0.743076923077,0.705769230769,3.53846153846,8.69230769231,25.1538461538,1.07692307692,2.0,8.69230769231
0.0,0.6,0.0,10,0.843076923077,0.806538461538,0.615384615385,8.69230769231,25.1538461538,1.07692307692,2.0,8.69230769231
0.1,0.6,0.1,10,0.659615384615,0.659615384615,4.76923076923,8.69230769231,25.1538461538,1.07692307692,2.0,8.69230769231
0.2,0.6,0.2,10,0.591153846154,0.591153846154,6.07692307692,8.69230769231,25.1538461538,1.07692307692,2.0,8.69230769231
uniform,0,0,20,0.330641025641,0.330769230769,14.8461538462,18.7692307692,72.3846153846,1.23076923077,3.92307692308,18.7692307692
randomForest,0,0,20,0.656538461538,0.656538461538,5.38461538462,18.7692307692,72.3846153846,1.23076923077,3.92307692308,18.7692307692
0.0,0.6,0.0,20,0.815384615385,0.815384615385,2.76923076923,18.7692307692,72.3846153846,1.23076923077,3.92307692308,18.7692307692
0.1,0.6,0.1,20,0.640256410256,0.640384615385,10.4615384615,18.7692307692,72.3846153846,1.23076923077,3.92307692308,18.7692307692
0.2,0.6,0.2,20,0.488846153846,0.489230769231,14.5384615385,18.7692307692,72.3846153846,1.23076923077,3.92307692308,18.7692307692
uniform,0,0,30,0.209102564103,0.210256410256,25.0769230769,29.5384615385,122.461538462,1.53846153846,4.0,29.5384615385
randomForest,0,0,30,0.597948717949,0.497564102564,12.6923076923,29.5384615385,122.461538462,1.53846153846,4.0,29.5384615385
0.0,0.6,0.0,30,0.733461538462,0.612307692308,5.76923076923,29.5384615385,122.461538462,1.53846153846,4.0,29.5384615385
0.1,0.6,0.1,30,0.51,0.451282051282,18.9230769231,29.5384615385,122.461538462,1.53846153846,4.0,29.5384615385
0.2,0.6,0.2,30,0.359871794872,0.333461538462,23.6923076923,29.5384615385,122.461538462,1.53846153846,4.0,29.5384615385
uniform,0,0,40,0.202179487179,0.203846153846,28.8461538462,37.0,147.923076923,1.53846153846,5.92307692308,37.0
randomForest,0,0,40,0.589358974359,0.545769230769,19.3846153846,37.0,147.923076923,1.53846153846,5.92307692308,37.0
0.0,0.6,0.0,40,0.689615384615,0.645641025641,11.2307692308,37.0,147.923076923,1.53846153846,5.92307692308,37.0
0.1,0.6,0.1,40,0.474230769231,0.472692307692,26.5384615385,37.0,147.923076923,1.53846153846,5.92307692308,37.0
0.2,0.6,0.2,40,0.329615384615,0.332307692308,28.3846153846,37.0,147.923076923,1.53846153846,5.92307692308,37.0
