0,P,0.37397328802230634
2,3,P,0.22812370699811324
1,3,P,0.22812370697694423
2,7,P,0.07853439093025864
1,4,7,P,0.047905978465043304
3,8,P,0.011634724561461538
2,8,P,0.011634724561461534
1,4,8,P,0.0070971813769635335
4,8,P,0.004908399433329248
2,6,P,0.002513069231746377
3,9,P,0.002311905309466239
1,5,7,P,0.0013500891974246526
1,7,9,P,4.826720607649835E-4
4,7,9,P,4.821704517281924E-4
1,6,P,2.9568631646234675E-4
1,5,8,P,2.0015384276229916E-4
5,8,P,1.384265198396158E-4
7,9,P,8.671114768154325E-5
1,8,9,P,7.009412089253037E-5
6,8,P,5.896033244742114E-5
8,9,P,5.3869845221455856E-5
4,6,9,P,1.540453661901708E-5
6,9,P,4.6857610616732E-6
