0,P,0.7370687061368675
2,3,P,0.07370687103517336
2,7,P,0.07370687103187157
1,3,P,0.07370687102833363
3,8,P,0.010919536429645672
2,8,P,0.01091953642964567
1,4,7,P,0.007370687102815674
4,8,P,0.004606679439668493
2,6,P,0.0023585905176623325
3,9,P,0.002169792169573855
1,4,8,P,0.0010919535497996306
1,5,7,P,6.033804891830374E-4
5,8,P,3.77379179566767E-4
1,6,P,2.7751043759584646E-4
7,9,P,2.3639243267306847E-4
1,7,9,P,2.1571530584416377E-4
4,7,9,P,2.1549112724427943E-4
6,8,P,1.6073799956663976E-4
8,9,P,1.468602838286753E-4
1,5,8,P,8.945255157077934E-5
1,8,9,P,3.132639312548111E-5
6,9,P,1.2774348926411924E-5
4,6,9,P,6.8845798178007215E-6
