[Priors]
[0.61, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]
[Bugs]
0
[InitialTests]
0
14
22
1
2
3
[TestDetails]
0;[0, 6, 7, 8, 10, 11];[0, 6, 7, 8, 10, 11];1
1;[8, 9, 11, 12];[8, 9, 11, 12];0
2;[8, 9, 11, 12];[8, 9, 11, 12];0
3;[8, 9, 11, 12];[8, 9, 11, 12];0
4;[8, 9, 11, 12];[8, 9, 11, 12];0
5;[0, 2, 4];[0, 2, 4];0
6;[5, 9];[5, 9];0
7;[4];[4];0
8;[4];[4];0
9;[5, 9, 10];[5, 9, 10];0
10;[4];[4];0
11;[8, 9, 11, 12];[8, 9, 11, 12];0
12;[5, 9];[5, 9];0
13;[4];[4];0
14;[0, 13];[0, 13];1
15;[4];[4];0
16;[8, 9, 11, 12];[8, 9, 11, 12];0
17;[9];[9];0
18;[5, 9];[5, 9];0
19;[9];[9];0
20;[9];[9];0
21;[2, 3, 8, 10];[2, 3, 8, 10];0
22;[0, 1, 2, 3, 4, 5, 9, 12];[0, 1, 2, 3, 4, 5, 9, 12];1
23;[9];[9];0
24;[5, 9];[5, 9];0
25;[4];[4];0
26;[5, 7, 9, 10];[5, 7, 9, 10];0
27;[5, 9];[5, 9];0
28;[9];[9];0
29;[9];[9];0
30;[8, 9, 11, 12];[8, 9, 11, 12];0
