algorithm,pBug,pValid,times,index,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0,0.7,0.7,9.0,11.0,20,1,2.0,11.0
uniform,0,0,10,1,0.76,0.38,2.0,8.0,8,2,2.0,8.0
uniform,0,0,10,2,0,0,0,0,4,1,0,0
uniform,0,0,10,3,0,0,0,0,6,1,0,0
uniform,0,0,10,4,0.74,0.74,4.0,11.0,11,1,2.0,11.0
uniform,0,0,10,5,0,0,0,0,23,1,0,0
uniform,0,0,10,6,0.73,0.73,5.0,11.0,10,1,2.0,11.0
uniform,0,0,10,7,0.74,0.375,2.0,11.0,7,2,2.0,11.0
uniform,0,0,10,8,0.18,0.18,2.0,4.0,3,1,2.0,4.0
uniform,0,0,10,9,0,0,0,0,15,2,0,0
uniform,0,0,10,10,0,0,0,0,8,2,0,0
uniform,0,0,10,11,0.73,0.38,2.0,6.0,7,2,2.0,6.0
uniform,0,0,10,12,0.8,0.8,2.0,11.0,9,1,2.0,11.0
uniform,0,0,10,13,0,0,0,0,24,2,0,0
uniform,0,0,10,14,0,0,0,0,15,2,0,0
uniform,0,0,10,15,0.805,0.42,4.0,11.0,8,2,2.0,11.0
uniform,0,0,10,16,0.79,0.42,5.0,11.0,11,2,2.0,11.0
uniform,0,0,10,17,0.735,0.375,5.0,11.0,19,2,2.0,11.0
uniform,0,0,10,18,0.745,0.39,3.0,9.0,13,2,2.0,9.0
randomForest,0,0,10,0,0.76,0.76,2.0,11.0,20,1,2.0,11.0
randomForest,0,0,10,1,0.77,0.39,2.0,8.0,8,2,2.0,8.0
randomForest,0,0,10,2,0.79,0.79,0.0,7.0,4,1,2.0,7.0
randomForest,0,0,10,3,0,0,0,0,6,1,0,0
randomForest,0,0,10,4,0.98,0.98,1.0,11.0,11,1,2.0,11.0
randomForest,0,0,10,5,0,0,0,0,23,1,0,0
randomForest,0,0,10,6,0.96,0.96,1.0,11.0,10,1,2.0,11.0
randomForest,0,0,10,7,0.865,0.435,1.0,11.0,7,2,2.0,11.0
randomForest,0,0,10,8,0.2,0.2,0.0,4.0,3,1,2.0,4.0
randomForest,0,0,10,9,0,0,0,0,15,2,0,0
randomForest,0,0,10,10,0,0,0,0,8,2,0,0
randomForest,0,0,10,11,0.865,0.435,2.0,6.0,7,2,2.0,6.0
randomForest,0,0,10,12,0.87,0.87,2.0,11.0,9,1,2.0,11.0
randomForest,0,0,10,13,0.845,0.845,7.0,11.0,24,2,2.0,11.0
randomForest,0,0,10,14,0,0,0,0,15,2,0,0
randomForest,0,0,10,15,0.865,0.435,2.0,11.0,8,2,2.0,11.0
randomForest,0,0,10,16,0.935,0.475,1.0,11.0,11,2,2.0,11.0
randomForest,0,0,10,17,0.76,0.38,3.0,11.0,19,2,2.0,11.0
randomForest,0,0,10,18,0.77,0.385,0.0,9.0,13,2,2.0,9.0
0.0,0.6,0.0,10,0,0.81,0.81,0.0,11.0,20,1,2.0,11.0
0.0,0.6,0.0,10,1,0.995,0.5,1.0,8.0,8,2,2.0,8.0
0.0,0.6,0.0,10,2,0.96,0.96,0.0,7.0,4,1,2.0,7.0
0.0,0.6,0.0,10,3,0.85,0.85,0.0,4.0,6,1,2.0,4.0
0.0,0.6,0.0,10,4,0.88,0.88,0.0,11.0,11,1,2.0,11.0
0.0,0.6,0.0,10,5,0.75,0.75,0.0,11.0,23,1,2.0,11.0
0.0,0.6,0.0,10,6,0.89,0.89,0.0,11.0,10,1,2.0,11.0
0.0,0.6,0.0,10,7,0.975,0.49,1.0,11.0,7,2,2.0,11.0
0.0,0.6,0.0,10,8,0.88,0.88,0.0,4.0,3,1,2.0,4.0
0.0,0.6,0.0,10,9,0.92,0.465,1.0,11.0,15,2,2.0,11.0
0.0,0.6,0.0,10,10,0.93,0.465,0.0,11.0,8,2,2.0,11.0
0.0,0.6,0.0,10,11,0.965,0.485,1.0,6.0,7,2,2.0,6.0
0.0,0.6,0.0,10,12,0.95,0.95,0.0,11.0,9,1,2.0,11.0
0.0,0.6,0.0,10,13,0.78,0.39,0.0,11.0,24,2,2.0,11.0
0.0,0.6,0.0,10,14,0.89,0.445,1.0,10.0,15,2,2.0,10.0
0.0,0.6,0.0,10,15,0.975,0.49,1.0,11.0,8,2,2.0,11.0
0.0,0.6,0.0,10,16,0.985,0.5,1.0,11.0,11,2,2.0,11.0
0.0,0.6,0.0,10,17,0.9,0.45,0.0,11.0,19,2,2.0,11.0
0.0,0.6,0.0,10,18,0.975,0.49,1.0,9.0,13,2,2.0,9.0
0.1,0.6,0.1,10,0,0.84,0.84,3.0,11.0,20,1,2.0,11.0
0.1,0.6,0.1,10,1,0.765,0.415,1.0,8.0,8,2,2.0,8.0
0.1,0.6,0.1,10,2,0.71,0.71,0.0,7.0,4,1,2.0,7.0
0.1,0.6,0.1,10,3,0,0,0,0,6,1,0,0
0.1,0.6,0.1,10,4,0.88,0.88,1.0,11.0,11,1,2.0,11.0
0.1,0.6,0.1,10,5,0,0,0,0,23,1,0,0
0.1,0.6,0.1,10,6,0.78,0.78,2.0,11.0,10,1,2.0,11.0
0.1,0.6,0.1,10,7,0.79,0.41,1.0,11.0,7,2,2.0,11.0
0.1,0.6,0.1,10,8,0,0,0,0,3,1,0,0
0.1,0.6,0.1,10,9,0.835,0.43,3.0,11.0,15,2,2.0,11.0
0.1,0.6,0.1,10,10,0.87,0.435,4.0,11.0,8,2,2.0,11.0
0.1,0.6,0.1,10,11,0.895,0.47,2.0,6.0,7,2,2.0,6.0
0.1,0.6,0.1,10,12,0.78,0.78,1.0,11.0,9,1,2.0,11.0
0.1,0.6,0.1,10,13,0.74,0.37,4.0,11.0,24,2,2.0,11.0
0.1,0.6,0.1,10,14,0,0,0,0,15,2,0,0
0.1,0.6,0.1,10,15,0.895,0.47,2.0,11.0,8,2,2.0,11.0
0.1,0.6,0.1,10,16,0.805,0.445,2.0,11.0,11,2,2.0,11.0
0.1,0.6,0.1,10,17,0.885,0.45,3.0,11.0,19,2,2.0,11.0
0.1,0.6,0.1,10,18,0.76,0.395,1.0,9.0,13,2,2.0,9.0
0.2,0.6,0.2,10,0,0.7,0.7,4.0,11.0,20,1,2.0,11.0
0.2,0.6,0.2,10,1,0.81,0.43,1.0,8.0,8,2,2.0,8.0
0.2,0.6,0.2,10,2,0,0,0,0,4,1,0,0
0.2,0.6,0.2,10,3,0,0,0,0,6,1,0,0
0.2,0.6,0.2,10,4,0.72,0.72,2.0,11.0,11,1,2.0,11.0
0.2,0.6,0.2,10,5,0,0,0,0,23,1,0,0
0.2,0.6,0.2,10,6,0.73,0.73,3.0,11.0,10,1,2.0,11.0
0.2,0.6,0.2,10,7,0.86,0.44,2.0,11.0,7,2,2.0,11.0
0.2,0.6,0.2,10,8,0,0,0,0,3,1,0,0
0.2,0.6,0.2,10,9,0.795,0.435,7.0,11.0,15,2,2.0,11.0
0.2,0.6,0.2,10,10,0,0,0,0,8,2,0,0
0.2,0.6,0.2,10,11,0.82,0.45,2.0,6.0,7,2,2.0,6.0
0.2,0.6,0.2,10,12,0.89,0.89,2.0,11.0,9,1,2.0,11.0
0.2,0.6,0.2,10,13,0,0,0,0,24,2,0,0
0.2,0.6,0.2,10,14,0,0,0,0,15,2,0,0
0.2,0.6,0.2,10,15,0.785,0.43,3.0,11.0,8,2,2.0,11.0
0.2,0.6,0.2,10,16,0.84,0.46,7.0,11.0,11,2,2.0,11.0
0.2,0.6,0.2,10,17,0.85,0.44,4.0,11.0,19,2,2.0,11.0
0.2,0.6,0.2,10,18,0.795,0.435,2.0,9.0,13,2,2.0,9.0
uniform,0,0,20,0,0,0,0,0,58,1,0,0
uniform,0,0,20,1,0.735,0.385,0.0,8.0,8,2,4.0,8.0
uniform,0,0,20,2,0.87,0.87,0.0,10.0,5,1,4.0,10.0
uniform,0,0,20,3,0,0,0,0,9,1,0,0
uniform,0,0,20,4,0.76,0.76,3.0,21.0,27,1,4.0,21.0
uniform,0,0,20,5,0,0,0,0,54,2,0,0
uniform,0,0,20,6,0.89,0.47,2.0,10.0,12,2,4.0,10.0
uniform,0,0,20,7,0.765,0.276666666667,13.0,21.0,25,3,4.0,21.0
uniform,0,0,20,8,0,0,0,0,18,2,0,0
uniform,0,0,20,9,0.755,0.395,7.0,21.0,23,2,4.0,21.0
uniform,0,0,20,10,0,0,0,0,16,2,0,0
uniform,0,0,20,11,0.783333333333,0.27,4.0,21.0,19,3,4.0,21.0
uniform,0,0,20,12,0.8,0.4,2.0,21.0,13,2,4.0,21.0
uniform,0,0,20,13,0,0,0,0,49,2,0,0
uniform,0,0,20,14,0,0,0,0,15,2,0,0
uniform,0,0,20,15,0.776666666667,0.395,1.0,20.0,13,2,4.0,20.0
uniform,0,0,20,16,0.745,0.263333333333,4.0,21.0,30,3,4.0,21.0
uniform,0,0,20,17,0.825,0.286666666667,4.0,21.0,34,3,4.0,21.0
uniform,0,0,20,18,0.823333333333,0.283333333333,2.0,21.0,19,3,4.0,21.0
randomForest,0,0,20,0,0.76,0.76,5.0,21.0,58,1,4.0,21.0
randomForest,0,0,20,1,0.796666666667,0.405,1.0,8.0,8,2,4.0,8.0
randomForest,0,0,20,2,1.0,1.0,0.0,10.0,5,1,4.0,10.0
randomForest,0,0,20,3,0.97,0.97,1.0,6.0,9,1,4.0,6.0
randomForest,0,0,20,4,0.93,0.93,0.0,21.0,27,1,4.0,21.0
randomForest,0,0,20,5,0,0,0,0,54,2,0,0
randomForest,0,0,20,6,0.98,0.49,0.0,10.0,12,2,4.0,10.0
randomForest,0,0,20,7,0.73,0.243333333333,0.0,21.0,25,3,4.0,21.0
randomForest,0,0,20,8,0.11,0.055,0.0,21.0,18,2,4.0,21.0
randomForest,0,0,20,9,0,0,0,0,23,2,0,0
randomForest,0,0,20,10,0,0,0,0,16,2,0,0
randomForest,0,0,20,11,0.865,0.29,2.0,21.0,19,3,4.0,21.0
randomForest,0,0,20,12,0.9,0.45,2.0,21.0,13,2,4.0,21.0
randomForest,0,0,20,13,0,0,0,0,49,2,0,0
randomForest,0,0,20,14,0,0,0,0,15,2,0,0
randomForest,0,0,20,15,0.865,0.435,0.0,20.0,13,2,4.0,20.0
randomForest,0,0,20,16,0.83,0.286666666667,0.0,21.0,30,3,4.0,21.0
randomForest,0,0,20,17,0.78,0.26,2.0,21.0,34,3,4.0,21.0
randomForest,0,0,20,18,0.905,0.303333333333,2.0,21.0,19,3,4.0,21.0
0.0,0.6,0.0,20,0,0.74,0.74,0.0,21.0,58,1,4.0,21.0
0.0,0.6,0.0,20,1,0.995,0.5,0.0,8.0,8,2,4.0,8.0
0.0,0.6,0.0,20,2,1.0,1.0,0.0,10.0,5,1,4.0,10.0
0.0,0.6,0.0,20,3,0.98,0.98,0.0,6.0,9,1,4.0,6.0
0.0,0.6,0.0,20,4,0.97,0.97,0.0,21.0,27,1,4.0,21.0
0.0,0.6,0.0,20,5,0.725,0.725,2.0,21.0,54,2,4.0,21.0
0.0,0.6,0.0,20,6,0.995,0.5,1.0,10.0,12,2,4.0,10.0
0.0,0.6,0.0,20,7,0.97,0.323333333333,0.0,21.0,25,3,4.0,21.0
0.0,0.6,0.0,20,8,0.8,0.4,0.0,21.0,18,2,4.0,21.0
0.0,0.6,0.0,20,9,0.945,0.475,0.0,21.0,23,2,4.0,21.0
0.0,0.6,0.0,20,10,0.86,0.43,1.0,21.0,16,2,3.0,21.0
0.0,0.6,0.0,20,11,0.955,0.32,0.0,21.0,19,3,4.0,21.0
0.0,0.6,0.0,20,12,0.98,0.49,0.0,21.0,13,2,4.0,21.0
0.0,0.6,0.0,20,13,0.865,0.865,2.0,21.0,49,2,4.0,21.0
0.0,0.6,0.0,20,14,0.89,0.445,1.0,10.0,15,2,3.0,10.0
0.0,0.6,0.0,20,15,0.995,0.5,0.0,20.0,13,2,4.0,20.0
0.0,0.6,0.0,20,16,0.97,0.333333333333,0.0,21.0,30,3,4.0,21.0
0.0,0.6,0.0,20,17,0.93,0.316666666667,0.0,21.0,34,3,4.0,21.0
0.0,0.6,0.0,20,18,0.975,0.326666666667,1.0,21.0,19,3,4.0,21.0
0.1,0.6,0.1,20,0,0.77,0.77,5.0,21.0,58,1,4.0,21.0
0.1,0.6,0.1,20,1,0.905,0.475,0.0,8.0,8,2,4.0,8.0
0.1,0.6,0.1,20,2,0.96,0.96,0.0,10.0,5,1,4.0,10.0
0.1,0.6,0.1,20,3,0.82,0.82,1.0,6.0,9,1,4.0,6.0
0.1,0.6,0.1,20,4,0.84,0.84,1.0,21.0,27,1,4.0,21.0
0.1,0.6,0.1,20,5,0,0,0,0,54,2,0,0
0.1,0.6,0.1,20,6,0.925,0.485,1.0,10.0,12,2,4.0,10.0
0.1,0.6,0.1,20,7,0.76,0.26,0.0,21.0,25,3,4.0,21.0
0.1,0.6,0.1,20,8,0,0,0,0,18,2,0,0
0.1,0.6,0.1,20,9,0.77,0.4,1.0,21.0,23,2,4.0,21.0
0.1,0.6,0.1,20,10,0,0,0,0,16,2,0,0
0.1,0.6,0.1,20,11,0.77,0.27,2.0,21.0,19,3,4.0,21.0
0.1,0.6,0.1,20,12,0.76,0.38,0.0,21.0,13,2,4.0,21.0
0.1,0.6,0.1,20,13,0.848333333333,0.85,8.0,21.0,49,2,4.0,21.0
0.1,0.6,0.1,20,14,0,0,0,0,15,2,0,0
0.1,0.6,0.1,20,15,0.875,0.46,0.0,20.0,13,2,4.0,20.0
0.1,0.6,0.1,20,16,0.805,0.303333333333,2.0,21.0,30,3,4.0,21.0
0.1,0.6,0.1,20,17,0.875,0.31,2.0,21.0,34,3,4.0,21.0
0.1,0.6,0.1,20,18,0.8,0.28,1.0,21.0,19,3,4.0,21.0
0.2,0.6,0.2,20,0,0,0,0,0,58,1,0,0
0.2,0.6,0.2,20,1,0.82,0.45,0.0,8.0,8,2,4.0,8.0
0.2,0.6,0.2,20,2,0.87,0.87,0.0,10.0,5,1,4.0,10.0
0.2,0.6,0.2,20,3,0.77,0.77,2.0,6.0,9,1,4.0,6.0
0.2,0.6,0.2,20,4,0.8,0.8,4.0,21.0,27,1,4.0,21.0
0.2,0.6,0.2,20,5,0,0,0,0,54,2,0,0
0.2,0.6,0.2,20,6,0.815,0.455,1.0,10.0,12,2,4.0,10.0
0.2,0.6,0.2,20,7,0,0,0,0,25,3,0,0
0.2,0.6,0.2,20,8,0,0,0,0,18,2,0,0
0.2,0.6,0.2,20,9,0.77,0.41,3.0,21.0,23,2,4.0,21.0
0.2,0.6,0.2,20,10,0,0,0,0,16,2,0,0
0.2,0.6,0.2,20,11,0.785,0.293333333333,3.0,21.0,19,3,4.0,21.0
0.2,0.6,0.2,20,12,0.896666666667,0.455,2.0,21.0,13,2,4.0,21.0
0.2,0.6,0.2,20,13,0,0,0,0,49,2,0,0
0.2,0.6,0.2,20,14,0,0,0,0,15,2,0,0
0.2,0.6,0.2,20,15,0.79,0.415,1.0,20.0,13,2,4.0,20.0
0.2,0.6,0.2,20,16,0.815,0.303333333333,5.0,21.0,30,3,4.0,21.0
0.2,0.6,0.2,20,17,0.86,0.31,3.0,21.0,34,3,4.0,21.0
0.2,0.6,0.2,20,18,0.865,0.313333333333,2.0,21.0,19,3,4.0,21.0
uniform,0,0,30,0,0,0,0,0,80,1,0,0
uniform,0,0,30,1,0.735,0.385,0.0,8.0,8,2,4.0,8.0
uniform,0,0,30,2,0.75,0.75,0.0,31.0,14,1,4.0,31.0
uniform,0,0,30,3,0,0,0,0,9,1,0,0
uniform,0,0,30,4,0,0,0,0,28,1,0,0
uniform,0,0,30,5,0,0,0,0,56,2,0,0
uniform,0,0,30,6,0.89,0.47,2.0,10.0,12,2,4.0,10.0
uniform,0,0,30,7,0,0,0,0,36,4,0,0
uniform,0,0,30,8,0,0,0,0,18,2,0,0
uniform,0,0,30,9,0,0,0,0,33,2,0,0
uniform,0,0,30,10,0,0,0,0,23,2,0,0
uniform,0,0,30,11,0.723333333333,0.243333333333,5.0,31.0,25,3,4.0,31.0
uniform,0,0,30,12,0.83,0.415,2.0,21.0,13,2,4.0,21.0
uniform,0,0,30,13,0,0,0,0,58,2,0,0
uniform,0,0,30,14,0,0,0,0,15,2,0,0
uniform,0,0,30,15,0.75,0.256666666667,1.0,31.0,41,3,4.0,31.0
uniform,0,0,30,16,0.856666666667,0.31,2.0,31.0,39,3,4.0,31.0
uniform,0,0,30,17,0.8,0.283333333333,5.0,31.0,47,3,4.0,31.0
uniform,0,0,30,18,0.875,0.2275,3.0,28.0,33,4,4.0,28.0
randomForest,0,0,30,0,0.75,0.75,6.0,31.0,80,1,4.0,31.0
randomForest,0,0,30,1,0.793333333333,0.4,1.0,8.0,8,2,4.0,8.0
randomForest,0,0,30,2,1.0,1.0,0.0,31.0,14,1,4.0,31.0
randomForest,0,0,30,3,0.97,0.97,1.0,6.0,9,1,4.0,6.0
randomForest,0,0,30,4,0.93,0.93,0.0,31.0,28,1,4.0,31.0
randomForest,0,0,30,5,0.385,0.385,13.0,29.0,56,2,4.0,29.0
randomForest,0,0,30,6,0.98,0.49,0.0,10.0,12,2,4.0,10.0
randomForest,0,0,30,7,0.75,0.1875,0.0,31.0,36,4,4.0,31.0
randomForest,0,0,30,8,0.11,0.055,0.0,22.0,18,2,4.0,22.0
randomForest,0,0,30,9,0,0,0,0,33,2,0,0
randomForest,0,0,30,10,0.77,0.385,5.0,31.0,23,2,4.0,31.0
randomForest,0,0,30,11,0.77,0.256666666667,3.0,31.0,25,3,4.0,31.0
randomForest,0,0,30,12,0.87,0.435,1.0,21.0,13,2,4.0,21.0
randomForest,0,0,30,13,0,0,0,0,58,2,0,0
randomForest,0,0,30,14,0,0,0,0,15,2,0,0
randomForest,0,0,30,15,0.86,0.286666666667,0.0,31.0,41,3,4.0,31.0
randomForest,0,0,30,16,0.83,0.286666666667,0.0,31.0,39,3,4.0,31.0
randomForest,0,0,30,17,0.91,0.303333333333,4.0,31.0,47,3,4.0,31.0
randomForest,0,0,30,18,0.925,0.2325,3.0,28.0,33,4,4.0,28.0
0.0,0.6,0.0,30,0,0.74,0.74,2.0,31.0,80,1,4.0,31.0
0.0,0.6,0.0,30,1,0.985,0.495,0.0,8.0,8,2,4.0,8.0
0.0,0.6,0.0,30,2,1.0,1.0,0.0,31.0,14,1,4.0,31.0
0.0,0.6,0.0,30,3,0.97,0.97,0.0,6.0,9,1,4.0,6.0
0.0,0.6,0.0,30,4,0.96,0.96,0.0,31.0,28,1,4.0,31.0
0.0,0.6,0.0,30,5,0.81,0.81,1.0,29.0,56,2,4.0,29.0
0.0,0.6,0.0,30,6,0.995,0.5,1.0,10.0,12,2,4.0,10.0
0.0,0.6,0.0,30,7,0.97,0.2425,0.0,31.0,36,4,4.0,31.0
0.0,0.6,0.0,30,8,0.79,0.395,0.0,22.0,18,2,4.0,22.0
0.0,0.6,0.0,30,9,0.945,0.475,0.0,31.0,33,2,4.0,31.0
0.0,0.6,0.0,30,10,0.81,0.405,0.0,31.0,23,2,4.0,31.0
0.0,0.6,0.0,30,11,0.955,0.32,0.0,31.0,25,3,4.0,31.0
0.0,0.6,0.0,30,12,0.98,0.49,0.0,21.0,13,2,4.0,21.0
0.0,0.6,0.0,30,13,0.81,0.81,3.0,31.0,58,2,4.0,31.0
0.0,0.6,0.0,30,14,0.9,0.45,1.0,10.0,15,2,3.0,10.0
0.0,0.6,0.0,30,15,0.995,0.333333333333,0.0,31.0,41,3,4.0,31.0
