algorithm,pBug,pValid,times,index,precision,recall,auc,wasted,tests,files,bugged,bugsIDS,pack
uniform,0,0,10,0,0.568652447786,0.222005555217,1.0,4,11,23,3,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index\\sbtree\\local'"
uniform,0,0,10,1,0.944444444436,0.472222222218,0.877083333333,1,10,15,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage'"
uniform,0,0,10,2,0.873818182681,0.320727273136,0.763888888889,1,10,15,3,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\db\\document'"
uniform,0,0,10,3,0.591254498134,0.234574278671,1.0,3,11,26,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local'"
uniform,0,0,10,4,0.768770424223,0.279552881614,0.644444444444,2,10,16,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type'"
uniform,0,0,10,5,0.61023636703,0.225191262425,0.763888888889,1,11,35,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
uniform,0,0,10,6,0.125798699409,0.125798699409,0.75,1,6,8,1,5,"""['src\\main\\java\\com\\orientechnologies\\common\\log'"
uniform,0,0,10,7,0.658658191772,0.241754692181,0.655555555556,2,11,24,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\metadata\\schema\\clusterselection'"
uniform,0,0,10,8,0.105158020027,0.105158020027,0.666666666667,1,10,7,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\eh'"
uniform,0,0,10,9,0.829093322435,0.309809751942,0.763888888889,1,5,9,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\serialization\\serializer\\record'"
uniform,0,0,10,10,0.843549568973,0.309617444881,0.763888888889,1,9,7,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\eh'"
uniform,0,0,10,11,0.975342822883,0.362141989362,1.0,0,9,7,3,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local\\cache'"
uniform,0,0,10,12,0.899078048354,0.47230683318,0.791666666667,1,8,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\collate'"
uniform,0,0,10,13,0.527706656809,0.283941391968,1.0,5,11,25,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
randomForest,0,0,10,0,0.946551744421,0.320577996043,0.625,6,11,23,3,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index\\sbtree\\local'"
randomForest,0,0,10,1,0.944444444436,0.472222222218,0.877083333333,1,10,15,4,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage'"
randomForest,0,0,10,2,0.0700288189912,0.026142038044,0.627777777778,2,10,15,3,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\db\\document'"
randomForest,0,0,10,3,0.452201362889,0.292495339965,0.549206349206,4,11,26,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index\\hashindex\\local'"
randomForest,0,0,10,4,0.858660143188,0.430042062027,1.0,0,10,16,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type'"
randomForest,0,0,10,5,0.146326243813,0.0733084639105,0.466666666667,3,11,35,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\local\\paginated'"
randomForest,0,0,10,6,0.445979661595,0.445979661595,1.0,0,6,8,1,5,"""['src\\main\\java\\com\\orientechnologies\\common\\log'"
randomForest,0,0,10,7,0.0616941077792,0.0207934817327,0.386658249158,8,11,24,3,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\metadata\\schema\\clusterselection'"
