algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.246071428571,0.107857142857,0.642857142857,2.92857142857,16.0714285714,2.71428571429,0.714285714286,2.92857142857
randomForest,0,0,10,0.244642857143,0.1075,0.785714285714,5.57142857143,16.0714285714,2.71428571429,1.14285714286,5.57142857143
0.0,0.6,0.0,10,0.475714285714,0.260773809524,1.28571428571,4.78571428571,16.0714285714,2.71428571429,1.0,4.78571428571
0.1,0.6,0.1,10,0.173214285714,0.0889285714286,0.5,2.07142857143,16.0714285714,2.71428571429,0.428571428571,2.07142857143
0.2,0.6,0.2,10,0.168928571429,0.0789285714286,0.285714285714,1.92857142857,16.0714285714,2.71428571429,0.428571428571,1.92857142857
uniform,0,0,20,0.248571428571,0.0902380952381,0.785714285714,3.07142857143,31.4285714286,4.07142857143,1.14285714286,3.07142857143
randomForest,0,0,20,0.288928571429,0.134297619048,1.5,7.21428571429,31.4285714286,4.07142857143,1.71428571429,7.21428571429
0.0,0.6,0.0,20,0.463571428571,0.229107142857,0.5,7.57142857143,31.4285714286,4.07142857143,2.0,7.57142857143
0.1,0.6,0.1,20,0.177976190476,0.0925,1.28571428571,3.5,31.4285714286,4.07142857143,0.857142857143,3.5
0.2,0.6,0.2,20,0.0578571428571,0.0314285714286,0.0,0.571428571429,31.4285714286,4.07142857143,0.285714285714,0.571428571429
uniform,0,0,30,0.255,0.0973129251701,1.85714285714,3.78571428571,47.0,5.14285714286,1.14285714286,3.78571428571
randomForest,0,0,30,0.258214285714,0.101258503401,0.428571428571,5.64285714286,47.0,5.14285714286,1.14285714286,5.64285714286
0.0,0.6,0.0,30,0.390714285714,0.150433673469,2.35714285714,11.5714285714,47.0,5.14285714286,1.71428571429,11.5714285714
0.1,0.6,0.1,30,0.2075,0.0849319727891,1.71428571429,3.42857142857,47.0,5.14285714286,0.857142857143,3.42857142857
0.2,0.6,0.2,30,0.128214285714,0.0518367346939,1.5,2.78571428571,47.0,5.14285714286,0.571428571429,2.78571428571
uniform,0,0,40,0.258571428571,0.0994557823129,2.0,4.35714285714,52.1428571429,5.14285714286,1.5,4.35714285714
randomForest,0,0,40,0.359642857143,0.137168367347,2.57142857143,15.3571428571,52.1428571429,5.14285714286,3.21428571429,15.3571428571
0.0,0.6,0.0,40,0.599285714286,0.228299319728,4.42857142857,17.3571428571,52.1428571429,5.14285714286,3.64285714286,17.3571428571
0.1,0.6,0.1,40,0.257857142857,0.113384353741,3.28571428571,6.5,52.1428571429,5.14285714286,1.57142857143,6.5
0.2,0.6,0.2,40,0.197142857143,0.0833843537415,1.21428571429,3.71428571429,52.1428571429,5.14285714286,1.14285714286,3.71428571429
