5,P,0.46517837906704185
8,P,0.06891531484820818
26,P,0.06891531484820818
15,P,0.06891531484820818
0,1,P,0.04651783807846083
2,P,0.029073648643190477
3,P,0.016076564817186497
23,P,0.016076564817186497
22,P,0.016076564817186497
12,P,0.016076564817186497
11,P,0.016076564817186497
0,7,P,0.011629459517996897
0,27,P,0.011629459517996897
0,25,P,0.011629459517996897
1,19,P,0.011629459497530248
1,14,P,0.011629459497530248
24,P,0.01020967639016548
21,P,0.01020967639016548
10,P,0.01020967639016548
20,P,0.007060626756119921
18,P,0.007060626756119921
16,P,0.007060626756119921
1,4,P,0.006891531561373144
0,6,P,0.006891531561364064
17,P,0.005174484857676657
1,9,P,0.0049061782237266646
1,13,P,0.0049061782237266646
7,14,P,0.0029073648802474513
7,19,P,0.0029073648802474235
19,25,P,0.00290736488024736
19,27,P,0.0029073648802462495
14,27,P,0.0029073648802462495
14,25,P,0.0029073648802462495
4,27,P,0.0017228828819635842
4,25,P,0.0017228826049593908
4,7,P,0.0017228824835256735
6,19,P,0.0017228823432599936
6,14,P,0.001722882163039445
7,9,P,0.001226544558795562
7,13,P,0.0012265445585218076
13,27,P,0.0012153908223572595
9,25,P,0.0012153908223572231
13,25,P,0.0012153908223572092
9,27,P,0.0012153908223571785
