13,P,0.4650428531685731
0,56,P,0.046504285671405146
0,44,P,0.04650428567137275
0,34,P,0.04650428567137275
0,1,P,0.046504285670758636
0,29,P,0.04650428555058912
5,P,0.03809630579428791
47,P,0.03809630579428791
0,90,P,0.01162607141782921
0,78,P,0.01162607141782921
0,53,P,0.01162607141782921
0,8,P,0.011626071417780616
0,35,P,0.011626071417562257
0,41,P,0.011626071417442414
0,12,P,0.011626071417442414
0,46,P,0.011626071417437897
11,P,0.010206701684225808
0,96,P,0.00688952380300586
0,9,P,0.0068895238030058275
0,93,P,0.006889523803005806
0,69,P,0.006889523801879615
0,77,P,0.006889523801878738
0,87,P,0.004904748879409081
0,48,P,0.004904748879405841
0,89,P,0.004904748879405839
0,63,P,0.004904748877145694
0,10,P,0.004904748877145694
0,83,P,0.004904748858793128
81,P,0.0039031052589516323
6,P,0.0039031050465951162
36,P,0.0039031050465951162
0,32,P,0.0038096310747215483
0,65,P,0.003809631059152
0,30,P,0.003114838235420219
0,98,P,0.003114838235420204
0,82,P,0.003114838234707773
0,25,P,0.003114838234707773
0,88,P,0.0031148344299436357
0,99,P,0.0026345970408343656
0,31,P,0.0026345970332256924
0,64,P,0.0026345969629114753
0,22,P,0.0022827553105892635
45,P,0.0018165736555778506
20,P,0.0018165736555778506
91,P,0.0018165736555778502
0,85,P,0.0012675469415829423
97,P,9.602855160613456E-4
95,P,9.602855160613456E-4
3,P,9.602855160613456E-4
17,P,9.602855160613456E-4
0,84,P,9.248673709399847E-4
55,P,5.55444210081379E-4
19,P,5.55444210081379E-4
18,P,5.55444210081379E-4
16,P,5.55444210081379E-4
21,P,3.4363680976710214E-4
101,P,1.371952052216792E-5
