0,P,0.5656718529668481
68,84,P,0.14283214396280763
45,68,P,0.14283214376618353
65,P,0.04633983525021403
39,68,P,0.03236735183666403
42,P,0.015858875598122175
43,P,0.012163659726152175
68,105,P,0.006684162455759588
68,69,P,0.005656718572716561
16,68,P,0.005656718572605029
2,68,P,0.005656718569109369
44,68,P,0.003393946220886837
68,86,P,0.0018617247512056894
51,68,P,0.001414179641249342
9,P,0.001168078347073836
5,P,6.75634843962535E-4
68,102,P,5.966070369748547E-4
25,P,4.179951795928584E-4
101,P,4.179951795928583E-4
8,68,P,3.788847209354812E-4
68,76,P,3.788847209321687E-4
3,68,P,3.2046883006598055E-4
31,68,P,3.2046883005870484E-4
68,107,P,3.2046882943795546E-4
35,68,P,2.776712762153499E-4
53,68,P,2.7767127620764996E-4
11,68,P,2.776712761977464E-4
68,82,P,2.7767127617940926E-4
68,103,P,2.7767127617940926E-4
71,P,2.724892714453982E-4
6,P,2.724892714453982E-4
14,P,2.724892714453982E-4
7,68,P,2.4496378493484185E-4
52,68,P,2.4496378493484185E-4
22,68,P,2.4496378490297785E-4
15,68,P,2.449637848918129E-4
24,68,P,2.449637848803592E-4
68,74,P,2.449637830533802E-4
68,85,P,2.4496377338986745E-4
59,68,P,2.1915286744715728E-4
17,68,P,2.1915286744715728E-4
36,68,P,2.191528670855892E-4
30,68,P,2.191528670855892E-4
72,P,2.037587185694891E-4
68,78,P,1.982645347259023E-4
18,68,P,1.982597024374848E-4
21,P,1.8523519869953554E-4
56,68,P,1.8101274602724368E-4
68,106,P,1.8101274364972284E-4
68,79,P,1.4354503835693305E-4
70,P,1.3032027680999424E-4
37,P,1.3032027680999424E-4
12,P,1.3032027680999424E-4
20,P,9.435288605114285E-5
47,P,4.0897046532034876E-5
