0,P,0.9660350624373766
10,P,0.014662790267413309
2,4,P,0.009660350660042434
2,8,P,0.0024150876604242303
2,6,P,0.0024150876604242303
4,12,P,0.0014311630595406485
2,9,P,0.0010188651063693071
2,5,P,0.001018865106368198
8,12,P,3.577907651879762E-4
6,12,P,3.577907651879762E-4
3,P,2.099249079507459E-4
1,P,2.09924907516034E-4
7,P,1.451761412615179E-4
4,13,P,2.391175901410129E-5
4,11,P,1.4169931282580682E-5
8,13,P,5.977939765583897E-6
6,13,P,5.977939765583897E-6
6,11,P,3.542482823643333E-6
8,11,P,3.542482823643327E-6
5,13,P,2.499009731133926E-6
9,13,P,2.499009731133872E-6
