0,P,0.3116378232014685
8,9,P,0.21035553317488523
10,P,0.13147220752955444
7,8,P,0.052588883279969134
9,13,P,0.05258888319385223
9,12,P,0.05258888319385223
2,P,0.03192843793229029
6,8,P,0.031163782696157247
8,11,P,0.031163782666278488
7,12,P,0.013147220824984323
7,13,P,0.013147220824984198
5,P,0.009437109157861655
3,P,0.007926288728475481
11,13,P,0.007790943192647253
6,13,P,0.00779094237768269
11,12,P,0.00779094237768269
6,12,P,0.007790942274507268
4,P,0.006751439520358171
9,14,P,0.004989774140635002
1,8,P,0.003419571540222342
7,14,P,0.001248369391149122
1,13,P,8.599094029711707E-4
1,12,P,8.599094027398085E-4
11,14,P,7.397744549787154E-4
6,14,P,7.397744549786517E-4
1,14,P,8.165106483361601E-5
