[Priors]
[0.61, 0.61, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002]
[Bugs]
0
1
[InitialTests]
0
9
1
2
[TestDetails]
0;[0, 2, 5, 6, 7, 8, 13, 14, 15];[0, 2, 5, 6, 7, 8, 13, 14, 15];1
1;[2, 4];[2, 4];0
2;[5, 6, 7, 9, 10, 11, 16];[5, 6, 7, 9, 10, 11, 16];0
3;[16];[16];0
4;[16];[16];0
5;[4];[4];0
6;[2, 4];[2, 4];0
7;[2, 4];[2, 4];0
8;[4];[4];0
9;[0, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13];[0, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13];1
10;[5, 6, 7, 8];[5, 6, 7, 8];0
11;[16];[16];0
12;[6, 8, 10, 16];[6, 8, 10, 16];0
13;[2, 4];[2, 4];0
14;[5, 6, 8, 10, 11, 16];[5, 6, 8, 10, 11, 16];0
15;[6, 8, 10, 16];[6, 8, 10, 16];0
16;[16];[16];0
17;[1, 3, 4, 6, 8, 10, 13, 14, 16];[1, 3, 4, 6, 8, 10, 13, 14, 16];1
18;[16];[16];0
