algorithm,pBug,pValid,times,index,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0,0.63,0.63,9.0,11.0,14,1,2.0,11.0
uniform,0,0,10,1,0.57,0.57,9.0,11.0,20,1,2.0,11.0
uniform,0,0,10,2,0.74,0.74,5.0,10.0,14,1,2.0,10.0
uniform,0,0,10,3,0.74,0.37,3.0,11.0,9,2,2.0,11.0
uniform,0,0,10,4,0.1,0.1,9.0,11.0,26,2,2.0,11.0
uniform,0,0,10,5,0.75,0.75,3.0,8.0,8,1,2.0,8.0
uniform,0,0,10,6,0.72,0.36,7.0,11.0,12,2,2.0,11.0
uniform,0,0,10,7,0.72,0.72,4.0,7.0,7,1,2.0,7.0
uniform,0,0,10,8,0.69,0.69,9.0,11.0,7,1,2.0,11.0
uniform,0,0,10,9,0.105,0.105,9.0,11.0,21,2,2.0,11.0
uniform,0,0,10,10,0.73,0.73,1.0,9.0,13,1,2.0,9.0
uniform,0,0,10,11,0.45,0.45,9.0,11.0,13,1,2.0,11.0
uniform,0,0,10,12,0.91,0.91,1.0,2.0,3,1,1.0,2.0
uniform,0,0,10,13,0.5,0.5,8.0,10.0,8,1,2.0,10.0
uniform,0,0,10,14,0.15,0.15,2.0,4.0,4,1,2.0,4.0
uniform,0,0,10,15,0.08,0.08,5.0,7.0,19,1,2.0,7.0
uniform,0,0,10,16,0.74,0.38,5.0,8.0,9,2,2.0,8.0
uniform,0,0,10,17,0.69,0.69,7.0,9.0,8,1,2.0,9.0
uniform,0,0,10,18,0.7,0.7,2.0,11.0,12,1,2.0,11.0
uniform,0,0,10,19,0.555,0.555,8.0,10.0,9,2,2.0,10.0
randomForest,0,0,10,0,0.71,0.71,5.0,11.0,14,1,2.0,11.0
randomForest,0,0,10,1,0.73,0.73,2.0,11.0,20,1,2.0,11.0
randomForest,0,0,10,2,0.8,0.8,1.0,10.0,14,1,2.0,10.0
randomForest,0,0,10,3,0.7,0.35,1.0,11.0,9,2,2.0,11.0
randomForest,0,0,10,4,0.75,0.375,5.0,11.0,26,2,2.0,11.0
randomForest,0,0,10,5,0.87,0.87,3.0,8.0,8,1,2.0,8.0
randomForest,0,0,10,6,0.75,0.375,5.0,11.0,12,2,2.0,11.0
randomForest,0,0,10,7,0.86,0.86,2.0,7.0,7,1,2.0,7.0
randomForest,0,0,10,8,0.05,0.05,9.0,11.0,7,1,2.0,11.0
randomForest,0,0,10,9,0.6,0.6,9.0,11.0,21,2,2.0,11.0
randomForest,0,0,10,10,0.84,0.84,2.0,9.0,13,1,2.0,9.0
randomForest,0,0,10,11,0.14,0.14,9.0,11.0,13,1,2.0,11.0
randomForest,0,0,10,12,0.99,0.99,1.0,2.0,3,1,1.0,2.0
randomForest,0,0,10,13,0.66,0.66,8.0,10.0,8,1,2.0,10.0
randomForest,0,0,10,14,0.18,0.18,1.0,4.0,4,1,2.0,4.0
randomForest,0,0,10,15,0.3,0.3,5.0,7.0,19,1,2.0,7.0
randomForest,0,0,10,16,0.78,0.39,3.0,8.0,9,2,2.0,8.0
randomForest,0,0,10,17,0.76,0.76,1.0,9.0,8,1,2.0,9.0
randomForest,0,0,10,18,0.79,0.79,0.0,11.0,12,1,2.0,11.0
randomForest,0,0,10,19,0.375,0.375,8.0,10.0,9,2,2.0,10.0
0.0,0.6,0.0,10,0,0.9,0.9,0.0,11.0,14,1,2.0,11.0
0.0,0.6,0.0,10,1,0.85,0.85,0.0,11.0,20,1,2.0,11.0
0.0,0.6,0.0,10,2,0.92,0.92,0.0,10.0,14,1,2.0,10.0
0.0,0.6,0.0,10,3,0.99,0.495,0.0,11.0,9,2,2.0,11.0
0.0,0.6,0.0,10,4,0.86,0.43,0.0,11.0,26,2,2.0,11.0
0.0,0.6,0.0,10,5,0.94,0.94,0.0,8.0,8,1,2.0,8.0
0.0,0.6,0.0,10,6,0.91,0.455,1.0,11.0,12,2,2.0,11.0
0.0,0.6,0.0,10,7,0.95,0.95,0.0,7.0,7,1,2.0,7.0
0.0,0.6,0.0,10,8,0.98,0.98,0.0,11.0,7,1,2.0,11.0
0.0,0.6,0.0,10,9,0.9,0.45,0.0,11.0,21,2,2.0,11.0
0.0,0.6,0.0,10,10,0.93,0.93,0.0,9.0,13,1,2.0,9.0
0.0,0.6,0.0,10,11,0.84,0.84,0.0,11.0,13,1,2.0,11.0
0.0,0.6,0.0,10,12,0.98,0.98,0.0,2.0,3,1,1.0,2.0
0.0,0.6,0.0,10,13,0.92,0.92,0.0,10.0,8,1,2.0,10.0
0.0,0.6,0.0,10,14,0.96,0.96,0.0,4.0,4,1,2.0,4.0
0.0,0.6,0.0,10,15,0.84,0.84,0.0,7.0,19,1,2.0,7.0
0.0,0.6,0.0,10,16,0.935,0.47,1.0,8.0,9,2,2.0,8.0
0.0,0.6,0.0,10,17,0.95,0.95,0.0,9.0,8,1,2.0,9.0
0.0,0.6,0.0,10,18,0.97,0.97,0.0,11.0,12,1,2.0,11.0
0.0,0.6,0.0,10,19,0.97,0.485,0.0,10.0,9,2,2.0,10.0
0.1,0.6,0.1,10,0,0.73,0.73,2.0,11.0,14,1,2.0,11.0
0.1,0.6,0.1,10,1,0.77,0.77,2.0,11.0,20,1,2.0,11.0
0.1,0.6,0.1,10,2,0.8,0.8,2.0,10.0,14,1,2.0,10.0
0.1,0.6,0.1,10,3,0.86,0.43,0.0,11.0,9,2,2.0,11.0
0.1,0.6,0.1,10,4,0.71,0.71,9.0,11.0,26,2,2.0,11.0
0.1,0.6,0.1,10,5,0.71,0.71,1.0,8.0,8,1,2.0,8.0
0.1,0.6,0.1,10,6,0.89,0.445,3.0,11.0,12,2,2.0,11.0
0.1,0.6,0.1,10,7,0.7,0.7,1.0,7.0,7,1,2.0,7.0
0.1,0.6,0.1,10,8,0.77,0.77,0.0,11.0,7,1,2.0,11.0
0.1,0.6,0.1,10,9,0.66,0.66,9.0,11.0,21,2,2.0,11.0
0.1,0.6,0.1,10,10,0.93,0.93,1.0,9.0,13,1,2.0,9.0
0.1,0.6,0.1,10,11,0.73,0.73,5.0,11.0,13,1,2.0,11.0
0.1,0.6,0.1,10,12,0.85,0.85,0.0,2.0,3,1,1.0,2.0
0.1,0.6,0.1,10,13,0.79,0.79,3.0,10.0,8,1,2.0,10.0
0.1,0.6,0.1,10,14,0.71,0.71,0.0,4.0,4,1,2.0,4.0
0.1,0.6,0.1,10,15,0.31,0.31,5.0,7.0,19,1,2.0,7.0
0.1,0.6,0.1,10,16,0.855,0.45,2.0,8.0,9,2,2.0,8.0
0.1,0.6,0.1,10,17,0.78,0.78,2.0,9.0,8,1,2.0,9.0
0.1,0.6,0.1,10,18,0.76,0.76,0.0,11.0,12,1,2.0,11.0
0.1,0.6,0.1,10,19,0.76,0.38,0.0,10.0,9,2,2.0,10.0
0.2,0.6,0.2,10,0,0.7,0.7,3.0,11.0,14,1,2.0,11.0
0.2,0.6,0.2,10,1,0.7,0.7,4.0,11.0,20,1,2.0,11.0
0.2,0.6,0.2,10,2,0.73,0.73,3.0,10.0,14,1,2.0,10.0
0.2,0.6,0.2,10,3,0.79,0.395,0.0,11.0,9,2,2.0,11.0
0.2,0.6,0.2,10,4,0.485,0.485,9.0,11.0,26,2,2.0,11.0
0.2,0.6,0.2,10,5,0.85,0.85,3.0,8.0,8,1,2.0,8.0
0.2,0.6,0.2,10,6,0.76,0.38,3.0,11.0,12,2,2.0,11.0
0.2,0.6,0.2,10,7,0.82,0.82,3.0,7.0,7,1,2.0,7.0
0.2,0.6,0.2,10,8,0.76,0.76,1.0,11.0,7,1,2.0,11.0
0.2,0.6,0.2,10,9,0.52,0.52,9.0,11.0,21,2,2.0,11.0
0.2,0.6,0.2,10,10,0.83,0.83,1.0,9.0,13,1,2.0,9.0
0.2,0.6,0.2,10,11,0.61,0.61,9.0,11.0,13,1,2.0,11.0
0.2,0.6,0.2,10,12,0.74,0.74,0.0,2.0,3,1,1.0,2.0
0.2,0.6,0.2,10,13,0.72,0.72,5.0,10.0,8,1,2.0,10.0
0.2,0.6,0.2,10,14,0.34,0.34,2.0,4.0,4,1,2.0,4.0
0.2,0.6,0.2,10,15,0.19,0.19,5.0,7.0,19,1,2.0,7.0
0.2,0.6,0.2,10,16,0.83,0.455,4.0,8.0,9,2,2.0,8.0
0.2,0.6,0.2,10,17,0.82,0.82,3.0,9.0,8,1,2.0,9.0
0.2,0.6,0.2,10,18,0.75,0.75,1.0,11.0,12,1,2.0,11.0
0.2,0.6,0.2,10,19,0.81,0.405,1.0,10.0,9,2,2.0,10.0
uniform,0,0,20,0,0.24,0.24,17.0,21.0,17,1,4.0,21.0
uniform,0,0,20,1,0.81,0.81,6.0,21.0,28,1,4.0,21.0
uniform,0,0,20,2,0.806666666667,0.445,3.0,21.0,28,2,4.0,21.0
uniform,0,0,20,3,0.715,0.715,17.0,21.0,10,2,4.0,21.0
uniform,0,0,20,4,0.108333333333,0.11,17.0,21.0,34,2,4.0,21.0
uniform,0,0,20,5,0.71,0.71,4.0,15.0,11,1,4.0,15.0
uniform,0,0,20,6,0.37,0.185,16.0,20.0,15,2,4.0,20.0
uniform,0,0,20,7,0.128333333333,0.13,15.0,19.0,17,2,4.0,19.0
uniform,0,0,20,8,0.41,0.41,17.0,21.0,20,2,4.0,21.0
uniform,0,0,20,9,0.245,0.183333333333,17.0,21.0,38,3,4.0,21.0
uniform,0,0,20,10,0.77,0.385,0.0,12.0,20,2,4.0,12.0
uniform,0,0,20,11,0.52,0.52,10.0,14.0,13,1,4.0,14.0
uniform,0,0,20,12,0.85,0.425,0.0,15.0,7,2,4.0,15.0
uniform,0,0,20,13,0.52,0.52,16.0,19.0,9,1,3.0,19.0
uniform,0,0,20,14,0.17,0.17,7.0,10.0,6,1,3.0,10.0
uniform,0,0,20,15,0.27,0.27,17.0,21.0,40,2,4.0,21.0
uniform,0,0,20,16,0.538333333333,0.386666666667,17.0,21.0,20,3,4.0,21.0
uniform,0,0,20,17,0.7,0.7,11.0,15.0,11,1,4.0,15.0
uniform,0,0,20,18,0.87,0.87,2.0,21.0,18,1,4.0,21.0
uniform,0,0,20,19,0.758333333333,0.775,16.0,20.0,29,2,4.0,20.0
randomForest,0,0,20,0,0.53,0.53,17.0,21.0,17,1,4.0,21.0
randomForest,0,0,20,1,0.82,0.82,3.0,21.0,28,1,4.0,21.0
randomForest,0,0,20,2,0.765,0.385,4.0,21.0,28,2,4.0,21.0
randomForest,0,0,20,3,0.81,0.81,17.0,21.0,10,2,4.0,21.0
randomForest,0,0,20,4,0.86,0.86,3.0,21.0,34,2,4.0,21.0
randomForest,0,0,20,5,0.89,0.89,3.0,15.0,11,1,4.0,15.0
randomForest,0,0,20,6,0.59,0.295,16.0,20.0,15,2,4.0,20.0
randomForest,0,0,20,7,0.251666666667,0.255,15.0,19.0,17,2,4.0,19.0
randomForest,0,0,20,8,0.13,0.13,17.0,21.0,20,2,4.0,21.0
randomForest,0,0,20,9,0.583333333333,0.566666666667,17.0,21.0,38,3,4.0,21.0
randomForest,0,0,20,10,0.74,0.37,1.0,12.0,20,2,4.0,12.0
randomForest,0,0,20,11,0.15,0.15,10.0,14.0,13,1,4.0,14.0
randomForest,0,0,20,12,0.76,0.38,0.0,15.0,7,2,4.0,15.0
randomForest,0,0,20,13,0.67,0.67,16.0,19.0,9,1,3.0,19.0
randomForest,0,0,20,14,0.52,0.52,7.0,10.0,6,1,3.0,10.0
randomForest,0,0,20,15,0.51,0.51,17.0,21.0,40,2,4.0,21.0
randomForest,0,0,20,16,0.78,0.546666666667,5.0,21.0,20,3,4.0,21.0
randomForest,0,0,20,17,0.89,0.89,0.0,15.0,11,1,4.0,15.0
randomForest,0,0,20,18,0.85,0.85,2.0,21.0,18,1,4.0,21.0
randomForest,0,0,20,19,0.55,0.555,16.0,20.0,29,2,4.0,20.0
0.0,0.6,0.0,20,0,0.9,0.9,0.0,21.0,17,1,4.0,21.0
0.0,0.6,0.0,20,1,0.84,0.84,0.0,21.0,28,1,4.0,21.0
0.0,0.6,0.0,20,2,0.97,0.485,0.0,21.0,28,2,4.0,21.0
0.0,0.6,0.0,20,3,0.99,0.99,0.0,21.0,10,2,4.0,21.0
0.0,0.6,0.0,20,4,0.84,0.84,0.0,21.0,34,2,4.0,21.0
0.0,0.6,0.0,20,5,0.92,0.92,0.0,15.0,11,1,4.0,15.0
0.0,0.6,0.0,20,6,0.89,0.445,0.0,20.0,15,2,4.0,20.0
0.0,0.6,0.0,20,7,0.96,0.48,0.0,19.0,17,2,4.0,19.0
0.0,0.6,0.0,20,8,0.92,0.92,0.0,21.0,20,2,4.0,21.0
0.0,0.6,0.0,20,9,0.845,0.563333333333,0.0,21.0,38,3,4.0,21.0
0.0,0.6,0.0,20,10,1.0,0.5,0.0,12.0,20,2,4.0,12.0
0.0,0.6,0.0,20,11,0.84,0.84,0.0,14.0,13,1,4.0,14.0
0.0,0.6,0.0,20,12,1.0,0.5,0.0,15.0,7,2,4.0,15.0
0.0,0.6,0.0,20,13,0.91,0.91,0.0,19.0,9,1,3.0,19.0
0.0,0.6,0.0,20,14,0.96,0.96,0.0,10.0,6,1,3.0,10.0
0.0,0.6,0.0,20,15,0.835,0.835,0.0,21.0,40,2,4.0,21.0
0.0,0.6,0.0,20,16,0.9,0.303333333333,0.0,21.0,20,3,4.0,21.0
0.0,0.6,0.0,20,17,0.95,0.95,0.0,15.0,11,1,4.0,15.0
0.0,0.6,0.0,20,18,0.99,0.99,0.0,21.0,18,1,4.0,21.0
0.0,0.6,0.0,20,19,0.89,0.89,0.0,20.0,29,2,4.0,20.0
0.1,0.6,0.1,20,0,0.62,0.62,17.0,21.0,17,1,4.0,21.0
0.1,0.6,0.1,20,1,0.9,0.9,3.0,21.0,28,1,4.0,21.0
0.1,0.6,0.1,20,2,0.805,0.475,2.0,21.0,28,2,4.0,21.0
0.1,0.6,0.1,20,3,0.85,0.85,0.0,21.0,10,2,4.0,21.0
0.1,0.6,0.1,20,4,0.688333333333,0.69,17.0,21.0,34,2,4.0,21.0
0.1,0.6,0.1,20,5,0.92,0.92,3.0,15.0,11,1,4.0,15.0
0.1,0.6,0.1,20,6,0.7,0.35,8.0,20.0,15,2,4.0,20.0
0.1,0.6,0.1,20,7,0.618333333333,0.62,15.0,19.0,17,2,4.0,19.0
0.1,0.6,0.1,20,8,0.665,0.665,17.0,21.0,20,2,4.0,21.0
0.1,0.6,0.1,20,9,0.768333333333,0.733333333333,17.0,21.0,38,3,4.0,21.0
0.1,0.6,0.1,20,10,0.94,0.47,0.0,12.0,20,2,4.0,12.0
0.1,0.6,0.1,20,11,0.74,0.74,3.0,14.0,13,1,4.0,14.0
0.1,0.6,0.1,20,12,0.96,0.48,0.0,15.0,7,2,4.0,15.0
0.1,0.6,0.1,20,13,0.71,0.71,3.0,19.0,9,1,3.0,19.0
0.1,0.6,0.1,20,14,0.52,0.52,7.0,10.0,6,1,3.0,10.0
0.1,0.6,0.1,20,15,0.54,0.54,17.0,21.0,40,2,4.0,21.0
0.1,0.6,0.1,20,16,0.803333333333,0.276666666667,2.0,21.0,20,3,4.0,21.0
0.1,0.6,0.1,20,17,0.7,0.7,2.0,15.0,11,1,4.0,15.0
0.1,0.6,0.1,20,18,0.81,0.81,0.0,21.0,18,1,4.0,21.0
0.1,0.6,0.1,20,19,0.846666666667,0.855,5.0,20.0,29,2,4.0,20.0
0.2,0.6,0.2,20,0,0.41,0.41,17.0,21.0,17,1,4.0,21.0
0.2,0.6,0.2,20,1,0.76,0.76,3.0,21.0,28,1,4.0,21.0
0.2,0.6,0.2,20,2,0.83,0.465,4.0,21.0,28,2,4.0,21.0
0.2,0.6,0.2,20,3,0.865,0.865,8.0,21.0,10,2,4.0,21.0
0.2,0.6,0.2,20,4,0.363333333333,0.37,17.0,21.0,34,2,4.0,21.0
0.2,0.6,0.2,20,5,0.81,0.81,3.0,15.0,11,1,4.0,15.0
0.2,0.6,0.2,20,6,0.63,0.315,16.0,20.0,15,2,4.0,20.0
0.2,0.6,0.2,20,7,0.505,0.51,15.0,19.0,17,2,4.0,19.0
0.2,0.6,0.2,20,8,0.565,0.565,17.0,21.0,20,2,4.0,21.0
0.2,0.6,0.2,20,9,0.626666666667,0.586666666667,17.0,21.0,38,3,4.0,21.0
0.2,0.6,0.2,20,10,0.87,0.435,0.0,12.0,20,2,4.0,12.0
0.2,0.6,0.2,20,11,0.66,0.66,10.0,14.0,13,1,4.0,14.0
0.2,0.6,0.2,20,12,0.86,0.43,0.0,15.0,7,2,4.0,15.0
0.2,0.6,0.2,20,13,0.7,0.7,5.0,19.0,9,1,3.0,19.0
0.2,0.6,0.2,20,14,0.36,0.36,7.0,10.0,6,1,3.0,10.0
0.2,0.6,0.2,20,15,0.45,0.45,17.0,21.0,40,2,4.0,21.0
0.2,0.6,0.2,20,16,0.831666666667,0.566666666667,5.0,21.0,20,3,4.0,21.0
0.2,0.6,0.2,20,17,0.78,0.78,4.0,15.0,11,1,4.0,15.0
0.2,0.6,0.2,20,18,0.81,0.81,1.0,21.0,18,1,4.0,21.0
