0,P,0.9763594585949651
6,7,P,0.009763594621999524
6,18,P,0.002440898655160215
7,10,P,0.0024408986508644855
6,12,P,0.0014464584612978754
6,9,P,0.0014464584599235791
8,P,0.0014321370744873963
5,P,0.001432137047776555
10,18,P,6.102246639471009E-4
4,P,6.041828350164792E-4
10,12,P,3.6161461563084346E-4
9,10,P,3.616144443290815E-4
16,P,3.3408894025666784E-4
13,P,3.3408894025666784E-4
3,P,2.1216845789763958E-4
2,P,1.467276957063765E-4
14,P,1.075315642448241E-4
1,P,1.075315642448241E-4
7,17,P,2.416731337489591E-5
7,15,P,1.0195585326296187E-5
7,11,P,6.474867474481774E-6
17,18,P,6.041828355911878E-6
9,17,P,3.5803415599623454E-6
12,17,P,3.5803414006459677E-6
15,18,P,2.525717629707346E-6
11,18,P,1.6187168731285967E-6
