16,P,0.7141410403285083
0,1,P,0.07141410444122645
0,10,P,0.07141410443802737
0,11,P,0.017853526108338593
0,36,P,0.01785352609183961
0,9,P,0.01785352596599285
0,7,P,0.007531956327467304
0,37,P,0.007531956327467304
0,24,P,0.007531956327411061
0,8,P,0.005850243418599993
0,6,P,0.005850243418599993
0,35,P,0.005850243418599933
0,22,P,0.004783287815684832
0,19,P,0.004783287815684832
0,4,P,0.004783287815549539
0,14,P,0.004783287805949406
0,25,P,0.004045807512886824
0,2,P,0.004045807512886824
0,20,P,0.004045807510087512
0,12,P,0.0035055032726504774
0,5,P,0.0030925825731700917
0,18,P,0.0030925825731700917
0,13,P,0.0030925817014048097
0,23,P,0.0027667287092629582
0,26,P,0.0025030207695330813
