algorithm,pBug,pValid,times,index,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0,0.595,0.315,9.0,11.0,15,2,2.0,11.0
uniform,0,0,10,1,0.31,0.31,9.0,11.0,17,1,2.0,11.0
uniform,0,0,10,2,0.335,0.335,9.0,11.0,10,2,2.0,11.0
uniform,0,0,10,3,0,0,0,0,14,2,0,0
uniform,0,0,10,4,0.65,0.65,8.0,10.0,10,1,2.0,10.0
uniform,0,0,10,5,0.57,0.57,9.0,11.0,19,1,2.0,11.0
uniform,0,0,10,6,0.745,0.4,3.0,5.0,11,2,2.0,5.0
uniform,0,0,10,7,0.61,0.325,9.0,11.0,17,2,2.0,11.0
uniform,0,0,10,8,0.225,0.225,9.0,11.0,17,2,2.0,11.0
uniform,0,0,10,9,0.6,0.6,9.0,11.0,19,1,2.0,11.0
uniform,0,0,10,10,0.68,0.68,9.0,11.0,17,1,2.0,11.0
uniform,0,0,10,11,0.69,0.365,5.0,7.0,15,2,2.0,7.0
uniform,0,0,10,12,0,0,0,0,8,1,0,0
uniform,0,0,10,13,0.65,0.65,9.0,11.0,17,2,2.0,11.0
uniform,0,0,10,14,0,0,0,0,4,1,0,0
uniform,0,0,10,15,0.38,0.38,9.0,11.0,19,1,2.0,11.0
uniform,0,0,10,16,0,0,0,0,1,1,0,0
uniform,0,0,10,17,0.08,0.08,8.0,10.0,19,1,2.0,10.0
uniform,0,0,10,18,0.65,0.65,9.0,11.0,11,1,2.0,11.0
uniform,0,0,10,19,0,0,0,0,6,2,0,0
randomForest,0,0,10,0,0,0,0,0,15,2,0,0
randomForest,0,0,10,1,0,0,0,0,17,1,0,0
randomForest,0,0,10,2,0,0,0,0,10,2,0,0
randomForest,0,0,10,3,0,0,0,0,14,2,0,0
randomForest,0,0,10,4,0,0,0,0,10,1,0,0
randomForest,0,0,10,5,0,0,0,0,19,1,0,0
randomForest,0,0,10,6,0.055,0.035,3.0,5.0,11,2,2.0,5.0
randomForest,0,0,10,7,0,0,0,0,17,2,0,0
randomForest,0,0,10,8,0,0,0,0,17,2,0,0
randomForest,0,0,10,9,0,0,0,0,19,1,0,0
randomForest,0,0,10,10,0,0,0,0,17,1,0,0
randomForest,0,0,10,11,0.73,0.495,5.0,7.0,15,2,2.0,7.0
randomForest,0,0,10,12,0,0,0,0,8,1,0,0
randomForest,0,0,10,13,0,0,0,0,17,2,0,0
randomForest,0,0,10,14,0,0,0,0,4,1,0,0
randomForest,0,0,10,15,0,0,0,0,19,1,0,0
randomForest,0,0,10,16,0,0,0,0,1,1,0,0
randomForest,0,0,10,17,0.59,0.59,8.0,10.0,19,1,2.0,10.0
randomForest,0,0,10,18,0,0,0,0,11,1,0,0
randomForest,0,0,10,19,0,0,0,0,6,2,0,0
0.0,0.6,0.0,10,0,0,0,0,0,15,2,0,0
0.0,0.6,0.0,10,1,0,0,0,0,17,1,0,0
0.0,0.6,0.0,10,2,0,0,0,0,10,2,0,0
0.0,0.6,0.0,10,3,0,0,0,0,14,2,0,0
0.0,0.6,0.0,10,4,0,0,0,0,10,1,0,0
0.0,0.6,0.0,10,5,0,0,0,0,19,1,0,0
0.0,0.6,0.0,10,6,0,0,0,0,11,2,0,0
0.0,0.6,0.0,10,7,0,0,0,0,17,2,0,0
0.0,0.6,0.0,10,8,0,0,0,0,17,2,0,0
0.0,0.6,0.0,10,9,0,0,0,0,19,1,0,0
0.0,0.6,0.0,10,10,0,0,0,0,17,1,0,0
0.0,0.6,0.0,10,11,0,0,0,0,15,2,0,0
0.0,0.6,0.0,10,12,0,0,0,0,8,1,0,0
0.0,0.6,0.0,10,13,0,0,0,0,17,2,0,0
0.0,0.6,0.0,10,14,0,0,0,0,4,1,0,0
0.0,0.6,0.0,10,15,0,0,0,0,19,1,0,0
0.0,0.6,0.0,10,16,0,0,0,0,1,1,0,0
0.0,0.6,0.0,10,17,0,0,0,0,19,1,0,0
0.0,0.6,0.0,10,18,0,0,0,0,11,1,0,0
0.0,0.6,0.0,10,19,0,0,0,0,6,2,0,0
0.1,0.6,0.1,10,0,0,0,0,0,15,2,0,0
0.1,0.6,0.1,10,1,0,0,0,0,17,1,0,0
0.1,0.6,0.1,10,2,0,0,0,0,10,2,0,0
0.1,0.6,0.1,10,3,0,0,0,0,14,2,0,0
0.1,0.6,0.1,10,4,0,0,0,0,10,1,0,0
0.1,0.6,0.1,10,5,0,0,0,0,19,1,0,0
0.1,0.6,0.1,10,6,0,0,0,0,11,2,0,0
0.1,0.6,0.1,10,7,0,0,0,0,17,2,0,0
0.1,0.6,0.1,10,8,0,0,0,0,17,2,0,0
0.1,0.6,0.1,10,9,0,0,0,0,19,1,0,0
0.1,0.6,0.1,10,10,0,0,0,0,17,1,0,0
0.1,0.6,0.1,10,11,0,0,0,0,15,2,0,0
0.1,0.6,0.1,10,12,0,0,0,0,8,1,0,0
0.1,0.6,0.1,10,13,0,0,0,0,17,2,0,0
0.1,0.6,0.1,10,14,0,0,0,0,4,1,0,0
0.1,0.6,0.1,10,15,0,0,0,0,19,1,0,0
0.1,0.6,0.1,10,16,0,0,0,0,1,1,0,0
0.1,0.6,0.1,10,17,0.32,0.32,8.0,10.0,19,1,2.0,10.0
0.1,0.6,0.1,10,18,0,0,0,0,11,1,0,0
0.1,0.6,0.1,10,19,0,0,0,0,6,2,0,0
0.2,0.6,0.2,10,0,0,0,0,0,15,2,0,0
0.2,0.6,0.2,10,1,0.57,0.57,9.0,11.0,17,1,2.0,11.0
0.2,0.6,0.2,10,2,0.745,0.745,9.0,11.0,10,2,2.0,11.0
0.2,0.6,0.2,10,3,0.59,0.59,9.0,11.0,14,2,2.0,11.0
0.2,0.6,0.2,10,4,0,0,0,0,10,1,0,0
0.2,0.6,0.2,10,5,0,0,0,0,19,1,0,0
0.2,0.6,0.2,10,6,0,0,0,0,11,2,0,0
0.2,0.6,0.2,10,7,0.72,0.405,9.0,11.0,17,2,2.0,11.0
0.2,0.6,0.2,10,8,0.755,0.755,9.0,11.0,17,2,2.0,11.0
0.2,0.6,0.2,10,9,0,0,0,0,19,1,0,0
0.2,0.6,0.2,10,10,0,0,0,0,17,1,0,0
0.2,0.6,0.2,10,11,0,0,0,0,15,2,0,0
0.2,0.6,0.2,10,12,0,0,0,0,8,1,0,0
0.2,0.6,0.2,10,13,0.805,0.805,9.0,11.0,17,2,2.0,11.0
0.2,0.6,0.2,10,14,0,0,0,0,4,1,0,0
0.2,0.6,0.2,10,15,0.5,0.5,9.0,11.0,19,1,2.0,11.0
0.2,0.6,0.2,10,16,0,0,0,0,1,1,0,0
0.2,0.6,0.2,10,17,0.2,0.2,8.0,10.0,19,1,2.0,10.0
0.2,0.6,0.2,10,18,0,0,0,0,11,1,0,0
0.2,0.6,0.2,10,19,0,0,0,0,6,2,0,0
uniform,0,0,20,0,0.62,0.31,17.0,21.0,25,2,4.0,21.0
uniform,0,0,20,1,0.575,0.223333333333,17.0,21.0,46,3,4.0,21.0
uniform,0,0,20,2,0.135,0.09,17.0,21.0,27,3,4.0,21.0
uniform,0,0,20,3,0.486666666667,0.25,16.0,20.0,31,4,4.0,20.0
uniform,0,0,20,4,0,0,0,0,15,2,0,0
uniform,0,0,20,5,0.58,0.58,17.0,21.0,29,1,4.0,21.0
uniform,0,0,20,6,0.5,0.343333333333,17.0,21.0,34,3,4.0,21.0
uniform,0,0,20,7,0.63,0.345,17.0,21.0,34,2,4.0,21.0
uniform,0,0,20,8,0.54,0.27,17.0,21.0,39,4,4.0,21.0
uniform,0,0,20,9,0.64,0.32,17.0,21.0,48,2,4.0,21.0
uniform,0,0,20,10,0.5,0.5,17.0,21.0,27,1,4.0,21.0
uniform,0,0,20,11,0.175,0.175,17.0,21.0,40,2,4.0,21.0
uniform,0,0,20,12,0,0,0,0,24,2,0,0
uniform,0,0,20,13,0.59,0.295,17.0,21.0,29,4,4.0,21.0
uniform,0,0,20,14,0,0,0,0,6,1,0,0
uniform,0,0,20,15,0.36,0.36,12.0,16.0,25,1,4.0,16.0
uniform,0,0,20,16,0.615,0.41,10.0,14.0,16,3,4.0,14.0
uniform,0,0,20,17,0.165,0.165,16.0,20.0,58,2,4.0,20.0
uniform,0,0,20,18,0.771666666667,0.303333333333,17.0,21.0,52,3,4.0,21.0
uniform,0,0,20,19,0.178333333333,0.126666666667,17.0,21.0,29,3,4.0,21.0
randomForest,0,0,20,0,0,0,0,0,25,2,0,0
randomForest,0,0,20,1,0,0,0,0,46,3,0,0
randomForest,0,0,20,2,0,0,0,0,27,3,0,0
randomForest,0,0,20,3,0,0,0,0,31,4,0,0
randomForest,0,0,20,4,0,0,0,0,15,2,0,0
randomForest,0,0,20,5,0,0,0,0,29,1,0,0
randomForest,0,0,20,6,0,0,0,0,34,3,0,0
randomForest,0,0,20,7,0,0,0,0,34,2,0,0
randomForest,0,0,20,8,0,0,0,0,39,4,0,0
randomForest,0,0,20,9,0,0,0,0,48,2,0,0
randomForest,0,0,20,10,0,0,0,0,27,1,0,0
randomForest,0,0,20,11,0.69,0.69,17.0,21.0,40,2,4.0,21.0
randomForest,0,0,20,12,0.4,0.25,17.0,21.0,24,2,4.0,21.0
randomForest,0,0,20,13,0.71,0.355,17.0,21.0,29,4,4.0,21.0
randomForest,0,0,20,14,0.56,0.56,1.0,5.0,6,1,4.0,5.0
randomForest,0,0,20,15,0,0,0,0,25,1,0,0
randomForest,0,0,20,16,0.73,0.486666666667,10.0,14.0,16,3,4.0,14.0
