0,P,0.9881469864823788
5,P,0.0023998712284683662
14,P,0.0023998712284683662
11,P,0.0023998712284683662
6,P,0.0010124456857661351
19,P,0.0010124456857661351
15,P,0.0010124456857661351
9,P,5.598419660760763E-4
18,P,3.555364823435609E-4
16,P,2.4587560898891686E-4
2,10,P,1.6199130985752275E-4
4,10,P,4.049782746553176E-5
10,17,P,4.0497827458745175E-5
1,10,P,4.0497827453790384E-5
10,20,P,4.049782738747319E-5
2,12,P,4.049782738747318E-5
7,10,P,2.399871257402581E-5
3,10,P,2.399871257402581E-5
2,13,P,1.7085020922826348E-5
2,8,P,1.0850112324356164E-5
1,12,P,1.0124456867291786E-5
1,13,P,4.271255236261846E-6
