0,P,0.84981344145538
8,P,0.022702969711742408
16,P,0.022702969711742408
3,P,0.022702969288308485
2,12,P,0.016856955212420997
10,P,0.009577815453624378
6,P,0.00957781541026154
9,P,0.005296148830160042
5,P,0.005296148830160042
1,12,P,0.004214238803225029
12,17,P,0.004214238802518812
12,15,P,0.004214238802518812
2,7,P,0.004214238795102188
2,11,P,0.004214238795102188
2,13,P,0.0024973266960324025
12,14,P,0.0024973266960291117
2,4,P,0.0013809217199149306
7,15,P,0.0010535597009008468
11,17,P,0.0010535597009008468
7,17,P,0.00105355970090081
11,15,P,0.0010535597009004073
11,14,P,6.243316745362396E-4
7,14,P,6.24331674536238E-4
1,13,P,6.243316745362377E-4
13,17,P,6.243315265870991E-4
13,15,P,6.243313807026397E-4
4,15,P,3.4505012562759514E-4
4,17,P,3.45050125627229E-4
