0,P,0.7824656737313062
5,P,0.11592083959546354
15,P,0.04890410474803618
9,P,0.02704201374576762
18,P,0.017173457913567607
4,10,P,0.0019561641916065607
10,17,P,0.0019561641912787487
14,P,0.0011477310851035997
11,P,0.0011477310851035997
2,13,P,8.252567664407905E-4
6,P,4.841990569112493E-4
19,P,4.841990569112493E-4
1,13,P,2.06314191878533E-4
16,P,1.1758925902264416E-4
2,10,P,7.747184917033509E-5
1,10,P,1.936796228751899E-5
10,20,P,1.9367962255802996E-5
2,12,P,1.936796225580299E-5
7,10,P,1.1477310989412994E-5
3,10,P,1.1477310989412994E-5
2,8,P,5.1890330796944205E-6
1,12,P,4.8419905737182195E-6
