1,P,0.5390704661846257
0,67,P,0.11320479875918167
38,67,P,0.038972143836043
3,67,P,0.03897214380211011
59,P,0.015202846646778168
67,72,P,0.00974303595897079
67,102,P,0.009743035958970326
44,67,P,0.009743035951910336
25,67,P,0.009743035951910336
4,67,P,0.009743035951888713
27,67,P,0.009743035951888713
8,67,P,0.00974303594465364
67,74,P,0.005773650938534634
67,68,P,0.00577365093759095
67,93,P,0.005773650937590937
67,69,P,0.005773650937590937
67,85,P,0.005773650937590928
32,67,P,0.005773650915051768
33,67,P,0.005773650907238432
29,67,P,0.005773650907238432
22,67,P,0.005773650907238432
67,91,P,0.004110343295210369
67,79,P,0.004110343295210369
17,67,P,0.0041103432951952535
14,67,P,0.004110343295044958
13,67,P,0.004110343294788832
67,98,P,0.003192598023049506
67,88,P,0.0031925980230460426
67,78,P,0.003192598023001797
67,81,P,0.0031925980226324693
67,71,P,0.003192598022619178
67,70,P,0.003192598022619178
67,92,P,0.0031925980224523256
67,99,P,0.003192598022262104
15,67,P,0.0031445472846692705
12,67,P,0.0031445472846682813
20,67,P,0.0031445472846666055
54,67,P,0.002610338423515369
67,87,P,0.002610338423477318
67,73,P,0.002610338423473639
67,101,P,0.0026103384234603426
7,67,P,0.0026103384232143336
11,67,P,0.0026103384232143336
67,75,P,0.002207880271634713
67,94,P,0.002207880271634672
67,86,P,0.002207880271634672
67,76,P,0.002207880271634672
24,67,P,0.0022078802698961212
67,90,P,0.0022078802675263116
67,97,P,0.0022078802613491513
67,96,P,0.0019130251544785329
67,89,P,0.0019130251544785329
67,84,P,0.0019130251544785329
67,80,P,0.0019130251544785329
67,77,P,0.0019130251542620782
10,67,P,0.0019129753897066202
26,67,P,0.001912975389703432
67,95,P,0.0016876858442213232
67,83,P,0.0016876858442213232
46,67,P,0.0016876858434645473
2,67,P,0.0016876858419933875
16,67,P,0.001687685837141327
40,67,P,0.0015098607022320687
28,67,P,0.0015098607021697247
9,67,P,0.0015098607021259431
6,67,P,0.0015098607019949166
37,67,P,0.0015098607016406265
67,82,P,0.0013659498664232216
42,67,P,0.0013659498662428962
18,67,P,0.0012470931131249217
36,67,P,0.00124709311306436
41,67,P,0.0012470931082153574
43,67,P,0.0011472700816565944
21,67,P,0.0011472700779802546
19,67,P,0.0010622465922549603
31,67,P,9.889581369949367E-4
5,67,P,9.889581350120897E-4
47,67,P,9.889581335861502E-4
35,67,P,9.251314496985762E-4
45,67,P,8.69045177352892E-4
34,67,P,8.193714466192296E-4
30,67,P,6.994374547177771E-4
23,67,P,6.668996631473392E-4
39,67,P,6.372536436630472E-4
56,P,3.8321491403885876E-4
51,P,3.8321491403885876E-4
57,P,8.939636026560031E-5
50,P,6.077065885557966E-5
100,P,6.077065885557966E-5
