[Priors]
[0.61, 0.61, 0.61, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002]
[Bugs]
0
1
2
[InitialTests]
0
10
1
2
[TestDetails]
0;[1, 2, 7, 8];[1, 2, 7, 8];1
1;[7, 8];[7, 8];0
2;[6];[6];0
3;[10];[10];0
4;[1, 7, 8];[1, 7, 8];0
5;[7];[7];0
6;[3];[3];0
7;[7, 8];[7, 8];0
8;[4, 9, 10];[4, 9, 10];0
9;[7, 8];[7, 8];0
10;[0, 2, 3, 4, 5, 6, 9, 10];[0, 2, 3, 4, 5, 6, 9, 10];1
11;[10];[10];0
12;[7, 8];[7, 8];0
13;[7, 8];[7, 8];0
14;[10];[10];0
15;[1, 7, 8];[1, 7, 8];1
16;[4, 5];[4, 5];0
17;[7, 8];[7, 8];0
18;[10];[10];0
