algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.186759259259,0.118055555556,2.66666666667,3.33333333333,9.72222222222,2.5,0.666666666667,3.33333333333
randomForest,0,0,10,0.518611111111,0.329638888889,4.0,5.33333333333,9.72222222222,2.5,1.33333333333,5.33333333333
0.0,0.6,0.0,10,0.221666666667,0.104814814815,1.05555555556,1.5,9.72222222222,2.5,0.444444444444,1.5
0.1,0.6,0.1,10,0.304166666667,0.148666666667,1.61111111111,2.27777777778,9.72222222222,2.5,0.666666666667,2.27777777778
0.2,0.6,0.2,10,0.458333333333,0.255796296296,3.44444444444,4.55555555556,9.72222222222,2.5,1.11111111111,4.55555555556
uniform,0,0,20,0.332037037037,0.147657407407,6.0,7.77777777778,16.4444444444,3.38888888889,1.77777777778,7.77777777778
randomForest,0,0,20,0.543055555556,0.282907407407,8.61111111111,11.4444444444,16.4444444444,3.38888888889,2.83333333333,11.4444444444
0.0,0.6,0.0,20,0.385277777778,0.137185185185,4.72222222222,6.27777777778,16.4444444444,3.38888888889,1.55555555556,6.27777777778
0.1,0.6,0.1,20,0.386018518519,0.148203703704,5.33333333333,7.11111111111,16.4444444444,3.38888888889,1.77777777778,7.11111111111
0.2,0.6,0.2,20,0.40037037037,0.182268518519,5.77777777778,7.77777777778,16.4444444444,3.38888888889,2.0,7.77777777778
uniform,0,0,30,0.390092592593,0.147759259259,8.77777777778,10.7777777778,19.3888888889,3.61111111111,2.0,10.7777777778
randomForest,0,0,30,0.526388888889,0.280388888889,11.6666666667,14.5,19.3888888889,3.61111111111,2.83333333333,14.5
0.0,0.6,0.0,30,0.329722222222,0.103462962963,4.5,5.83333333333,19.3888888889,3.61111111111,1.33333333333,5.83333333333
0.1,0.6,0.1,30,0.376203703704,0.142648148148,6.55555555556,8.33333333333,19.3888888889,3.61111111111,1.77777777778,8.33333333333
0.2,0.6,0.2,30,0.345462962963,0.131074074074,6.55555555556,8.33333333333,19.3888888889,3.61111111111,1.77777777778,8.33333333333
uniform,0,0,40,0.378796296296,0.165083333333,9.0,12.0,19.3888888889,3.61111111111,3.0,12.0
randomForest,0,0,40,0.425462962963,0.230314814815,9.55555555556,13.1111111111,19.3888888889,3.61111111111,3.55555555556,13.1111111111
0.0,0.6,0.0,40,0.271666666667,0.0846296296296,3.88888888889,5.55555555556,19.3888888889,3.61111111111,1.66666666667,5.55555555556
0.1,0.6,0.1,40,0.276388888889,0.104888888889,4.38888888889,6.38888888889,19.3888888889,3.61111111111,2.0,6.38888888889
0.2,0.6,0.2,40,0.343518518519,0.14187037037,5.77777777778,8.33333333333,19.3888888889,3.61111111111,2.55555555556,8.33333333333
