0,P,0.47425290146435645
6,P,0.05001886095715085
22,P,0.05001886095715085
18,P,0.05001886095715085
12,P,0.05001886095715085
4,5,P,0.04742529041763322
4,10,P,0.04742529041762563
5,10,P,0.04742529041761715
5,8,P,0.047425290416926016
3,4,P,0.04742529041323224
17,P,0.01639018035371504
4,20,P,0.011856322599645279
4,11,P,0.011856322599645279
4,16,P,0.011856322592144582
4,23,P,0.007025968950654075
5,15,P,0.00500188609852886
19,P,0.003980406650204729
4,7,P,0.0038850797901464765
5,9,P,0.0038850797795733586
4,9,P,0.0038850793633882245
4,13,P,0.0031765267600640298
1,P,0.002385085150367265
2,P,0.0015420507969618736
5,14,P,0.0013961152803184807
21,P,4.22775858648425E-4
