0,P,0.9967259512599353
20,29,P,0.0015492522383297365
13,29,P,3.873130595973146E-4
28,29,P,2.2951885011929918E-4
18,29,P,2.2951885011929918E-4
4,29,P,8.776944547894199E-5
27,29,P,7.604812599501417E-5
21,29,P,7.604812599363184E-5
10,29,P,6.0021205132290975E-5
17,29,P,5.4300345823994893E-5
11,29,P,5.430034573937333E-5
12,29,P,4.95754558257669E-5
26,29,P,4.5607200915876295E-5
14,29,P,4.222728993499582E-5
23,29,P,4.222728988386914E-5
22,29,P,3.081099220541438E-5
1,29,P,2.9230618369153825E-5
25,29,P,2.7804436753780294E-5
24,29,P,2.7804247241057343E-5
3,29,P,2.780420151041995E-5
9,29,P,2.6510337081569853E-5
7,29,P,2.5332314601119967E-5
2,29,P,2.425168139062753E-5
19,29,P,2.425100073521064E-5
5,29,P,2.3260875884388016E-5
6,29,P,2.3260205402561412E-5
