2,P,0.9491688303455125
1,4,P,0.009491688357732554
1,6,P,0.009491688357731034
1,5,P,0.009491688357307362
3,4,P,0.009491688356851762
0,6,P,0.009491688356851742
9,P,0.0016411090207593868
1,8,P,7.775591088780375E-4
0,3,8,P,4.74310145479817E-4
3,8,P,2.0832237720770522E-4
4,6,P,1.556014484873662E-4
4,10,P,3.890036210621772E-5
0,5,10,P,2.3729218821107846E-5
4,7,P,2.3052066442231446E-5
0,5,7,P,1.4061760528091194E-5
6,8,P,1.2746870637345341E-5
0,8,10,P,1.9438975940242786E-6
8,10,P,8.537802243347843E-7
7,8,P,5.059438405995319E-7
5,8,10,P,3.186700668025044E-8
