algorithm,pBug,pValid,times,index,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0,0.41,0.205,9.0,11.0,12,2,2.0,11.0
uniform,0,0,10,1,0.62,0.31,9.0,11.0,16,2,2.0,11.0
uniform,0,0,10,2,0.721666666667,0.2125,9.0,11.0,11,4,2.0,11.0
uniform,0,0,10,3,0.415,0.415,9.0,11.0,6,2,2.0,11.0
uniform,0,0,10,4,0.47,0.47,9.0,11.0,25,1,2.0,11.0
uniform,0,0,10,5,0.68,0.68,9.0,11.0,9,1,2.0,11.0
uniform,0,0,10,6,0.49,0.176666666667,4.0,6.0,16,3,2.0,6.0
uniform,0,0,10,7,0.606666666667,0.325,4.0,6.0,13,2,2.0,6.0
uniform,0,0,10,8,0.835,0.212,9.0,11.0,11,5,2.0,11.0
uniform,0,0,10,9,0.71,0.26,4.0,6.0,14,3,2.0,6.0
uniform,0,0,10,10,0,0,0,0,5,2,0,0
uniform,0,0,10,11,0.691666666667,0.24,6.0,8.0,12,3,2.0,8.0
uniform,0,0,10,12,0.63,0.21,8.0,10.0,20,3,2.0,10.0
uniform,0,0,10,13,0,0,0,0,10,3,0,0
uniform,0,0,10,14,0,0,0,0,11,6,0,0
uniform,0,0,10,15,0.685,0.24,9.0,11.0,11,3,2.0,11.0
uniform,0,0,10,16,0.695,0.27,9.0,11.0,15,3,2.0,11.0
uniform,0,0,10,17,0.715,0.375,2.0,4.0,5,2,2.0,4.0
uniform,0,0,10,18,0.79,0.235,8.0,10.0,8,4,2.0,10.0
uniform,0,0,10,19,0,0,0,0,6,2,0,0
randomForest,0,0,10,0,0,0,0,0,12,2,0,0
randomForest,0,0,10,1,0,0,0,0,16,2,0,0
randomForest,0,0,10,2,0,0,0,0,11,4,0,0
randomForest,0,0,10,3,0,0,0,0,6,2,0,0
randomForest,0,0,10,4,0,0,0,0,25,1,0,0
randomForest,0,0,10,5,0,0,0,0,9,1,0,0
randomForest,0,0,10,6,0.49,0.193333333333,4.0,6.0,16,3,2.0,6.0
randomForest,0,0,10,7,0,0,0,0,13,2,0,0
randomForest,0,0,10,8,0.99,0.33,9.0,11.0,11,5,2.0,11.0
randomForest,0,0,10,9,0,0,0,0,14,3,0,0
randomForest,0,0,10,10,0,0,0,0,5,2,0,0
randomForest,0,0,10,11,0,0,0,0,12,3,0,0
randomForest,0,0,10,12,0,0,0,0,20,3,0,0
randomForest,0,0,10,13,0.93,0.476666666667,9.0,11.0,10,3,2.0,11.0
randomForest,0,0,10,14,0.853333333333,0.406666666667,4.0,6.0,11,6,2.0,6.0
randomForest,0,0,10,15,0,0,0,0,11,3,0,0
randomForest,0,0,10,16,0,0,0,0,15,3,0,0
randomForest,0,0,10,17,0,0,0,0,5,2,0,0
randomForest,0,0,10,18,0.99,0.385,8.0,10.0,8,4,2.0,10.0
randomForest,0,0,10,19,0,0,0,0,6,2,0,0
0.0,0.6,0.0,10,0,0,0,0,0,12,2,0,0
0.0,0.6,0.0,10,1,0,0,0,0,16,2,0,0
0.0,0.6,0.0,10,2,0,0,0,0,11,4,0,0
0.0,0.6,0.0,10,3,0,0,0,0,6,2,0,0
0.0,0.6,0.0,10,4,0,0,0,0,25,1,0,0
0.0,0.6,0.0,10,5,0,0,0,0,9,1,0,0
0.0,0.6,0.0,10,6,0,0,0,0,16,3,0,0
0.0,0.6,0.0,10,7,0,0,0,0,13,2,0,0
0.0,0.6,0.0,10,8,0.97,0.302,9.0,11.0,11,5,2.0,11.0
0.0,0.6,0.0,10,9,0,0,0,0,14,3,0,0
0.0,0.6,0.0,10,10,0,0,0,0,5,2,0,0
0.0,0.6,0.0,10,11,0,0,0,0,12,3,0,0
0.0,0.6,0.0,10,12,0,0,0,0,20,3,0,0
0.0,0.6,0.0,10,13,0,0,0,0,10,3,0,0
0.0,0.6,0.0,10,14,0,0,0,0,11,6,0,0
0.0,0.6,0.0,10,15,0,0,0,0,11,3,0,0
0.0,0.6,0.0,10,16,0,0,0,0,15,3,0,0
0.0,0.6,0.0,10,17,0,0,0,0,5,2,0,0
0.0,0.6,0.0,10,18,0,0,0,0,8,4,0,0
0.0,0.6,0.0,10,19,0,0,0,0,6,2,0,0
0.1,0.6,0.1,10,0,0.8,0.4,9.0,11.0,12,2,2.0,11.0
0.1,0.6,0.1,10,1,0,0,0,0,16,2,0,0
0.1,0.6,0.1,10,2,0.806666666667,0.2575,9.0,11.0,11,4,2.0,11.0
0.1,0.6,0.1,10,3,0,0,0,0,6,2,0,0
0.1,0.6,0.1,10,4,0,0,0,0,25,1,0,0
0.1,0.6,0.1,10,5,0,0,0,0,9,1,0,0
0.1,0.6,0.1,10,6,0.73,0.273333333333,4.0,6.0,16,3,2.0,6.0
0.1,0.6,0.1,10,7,0,0,0,0,13,2,0,0
0.1,0.6,0.1,10,8,0.895,0.286,9.0,11.0,11,5,2.0,11.0
0.1,0.6,0.1,10,9,0,0,0,0,14,3,0,0
0.1,0.6,0.1,10,10,0,0,0,0,5,2,0,0
0.1,0.6,0.1,10,11,0,0,0,0,12,3,0,0
0.1,0.6,0.1,10,12,0,0,0,0,20,3,0,0
0.1,0.6,0.1,10,13,0.935,0.403333333333,9.0,11.0,10,3,2.0,11.0
0.1,0.6,0.1,10,14,0.963333333333,0.39,4.0,6.0,11,6,2.0,6.0
0.1,0.6,0.1,10,15,0,0,0,0,11,3,0,0
0.1,0.6,0.1,10,16,0,0,0,0,15,3,0,0
0.1,0.6,0.1,10,17,0,0,0,0,5,2,0,0
0.1,0.6,0.1,10,18,0.903333333333,0.3275,8.0,10.0,8,4,2.0,10.0
0.1,0.6,0.1,10,19,0,0,0,0,6,2,0,0
0.2,0.6,0.2,10,0,0.69,0.345,9.0,11.0,12,2,2.0,11.0
0.2,0.6,0.2,10,1,0.79,0.395,9.0,11.0,16,2,2.0,11.0
0.2,0.6,0.2,10,2,0.708333333333,0.2375,9.0,11.0,11,4,2.0,11.0
0.2,0.6,0.2,10,3,0,0,0,0,6,2,0,0
0.2,0.6,0.2,10,4,0,0,0,0,25,1,0,0
0.2,0.6,0.2,10,5,0,0,0,0,9,1,0,0
0.2,0.6,0.2,10,6,0.51,0.206666666667,4.0,6.0,16,3,2.0,6.0
0.2,0.6,0.2,10,7,0.641666666667,0.37,4.0,6.0,13,2,2.0,6.0
0.2,0.6,0.2,10,8,0.856666666667,0.28,9.0,11.0,11,5,2.0,11.0
