algorithm,pBug,pValid,times,index,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0,0,0,0,0,12,2,0,0
uniform,0,0,10,1,0,0,0,0,16,2,0,0
uniform,0,0,10,2,0,0,0,0,11,4,0,0
uniform,0,0,10,3,0,0,0,0,6,2,0,0
uniform,0,0,10,4,0,0,0,0,25,1,0,0
uniform,0,0,10,5,0,0,0,0,9,1,0,0
uniform,0,0,10,6,0,0,0,0,16,3,0,0
uniform,0,0,10,7,0,0,0,0,13,2,0,0
uniform,0,0,10,8,0,0,0,0,11,5,0,0
uniform,0,0,10,9,0,0,0,0,14,3,0,0
uniform,0,0,10,10,0.09,0.09,2.0,10.0,5,2,2.0,10.0
uniform,0,0,10,11,0,0,0,0,12,3,0,0
uniform,0,0,10,12,0,0,0,0,20,3,0,0
uniform,0,0,10,13,0.835,0.313333333333,3.0,11.0,10,3,2.0,11.0
uniform,0,0,10,14,0.943333333333,0.335,4.0,6.0,11,6,2.0,6.0
uniform,0,0,10,15,0,0,0,0,11,3,0,0
uniform,0,0,10,16,0,0,0,0,15,3,0,0
uniform,0,0,10,17,0,0,0,0,5,2,0,0
uniform,0,0,10,18,0,0,0,0,8,4,0,0
uniform,0,0,10,19,0.14,0.14,2.0,11.0,6,2,2.0,11.0
randomForest,0,0,10,0,0.88,0.44,3.0,11.0,12,2,2.0,11.0
randomForest,0,0,10,1,0.75,0.375,1.0,11.0,16,2,2.0,11.0
randomForest,0,0,10,2,0.971666666667,0.2525,2.0,11.0,11,4,2.0,11.0
randomForest,0,0,10,3,0.97,0.485,0.0,11.0,6,2,2.0,11.0
randomForest,0,0,10,4,0.72,0.72,2.0,11.0,25,1,2.0,11.0
randomForest,0,0,10,5,0.83,0.83,2.0,11.0,9,1,2.0,11.0
randomForest,0,0,10,6,0,0,0,0,16,3,0,0
randomForest,0,0,10,7,0.98,0.5,1.0,6.0,13,2,2.0,6.0
randomForest,0,0,10,8,0,0,0,0,11,5,0,0
randomForest,0,0,10,9,0.975,0.33,3.0,6.0,14,3,2.0,6.0
randomForest,0,0,10,10,0.98,0.49,0.0,10.0,5,2,2.0,10.0
randomForest,0,0,10,11,0.97,0.323333333333,0.0,8.0,12,3,2.0,8.0
randomForest,0,0,10,12,0.945,0.316666666667,2.0,10.0,20,3,2.0,10.0
randomForest,0,0,10,13,0,0,0,0,10,3,0,0
randomForest,0,0,10,14,0,0,0,0,11,6,0,0
