0,P,0.979350521522455
1,5,P,0.009793505251384862
1,13,P,0.0024483763125055097
3,P,0.0023785076221847505
10,P,0.0023785076221847505
1,7,P,0.0014508896656475199
9,P,0.0010034329097220668
12,P,0.0010034329097220668
5,6,P,4.013731652781344E-5
5,11,P,4.013731652781344E-5
4,5,P,2.3785076508886673E-5
5,8,P,2.3785076486056255E-5
2,5,P,1.6932930443682052E-5
11,13,P,1.0034329152194821E-5
6,13,P,1.003432915219099E-5
6,7,P,5.946269126544177E-6
8,13,P,5.9462681365548106E-6
4,13,P,5.946267717444744E-6
7,11,P,5.946267233339012E-6
2,13,P,4.194737180374764E-6
