0,P,0.9975116308392794
6,P,0.0013396090336392041
27,P,3.5890588566904485E-4
1,10,P,1.635264981056513E-4
1,12,P,1.635264981033469E-4
1,18,P,1.6352649759674085E-4
17,P,6.387753820079208E-5
1,23,P,4.0881624525388846E-5
1,7,P,4.088162452496856E-5
5,P,3.3767237869781574E-5
1,22,P,2.4226147863727618E-5
21,P,1.953150021687162E-5
1,47,P,1.7246935347076648E-5
9,P,1.2083558173210376E-5
1,42,P,1.0952923243559189E-5
1,48,P,9.264230610540963E-6
1,43,P,9.264230610540963E-6
1,39,P,8.02702322988642E-6
1,46,P,6.335351585185047E-6
1,38,P,2.934821605087792E-6
