[Priors]
[0.61, 0.61, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]
[Bugs]
0
1
[InitialTests]
0
9
1
2
[TestDetails]
0;[0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24];[0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24];1
1;[12, 13];[12, 13];0
2;[22];[22];0
3;[13];[13];0
4;[2, 3, 4, 5, 6, 8, 12, 13, 19, 21];[2, 3, 4, 5, 6, 8, 12, 13, 19, 21];0
5;[13];[13];0
6;[5, 8, 14, 16, 18, 19, 20, 21];[5, 8, 14, 16, 18, 19, 20, 21];0
7;[2, 3, 4, 5, 6, 8, 12, 13, 19, 21];[2, 3, 4, 5, 6, 8, 12, 13, 19, 21];0
8;[13];[13];0
9;[1, 2, 3, 4, 6, 8, 11, 12, 13, 14, 16, 17, 19, 22, 25];[1, 2, 3, 4, 6, 8, 11, 12, 13, 14, 16, 17, 19, 22, 25];1
10;[13];[13];0
11;[2, 4, 5, 6, 8, 14, 16, 18, 19, 20, 21];[2, 4, 5, 6, 8, 14, 16, 18, 19, 20, 21];0
12;[13];[13];0
13;[13];[13];0
14;[19];[19];0
15;[19];[19];0
16;[13];[13];0
17;[11];[11];0
18;[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22];[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22];1
19;[20];[20];0
20;[13];[13];0
21;[5, 8, 10, 14, 16, 18, 19, 20, 21];[5, 8, 10, 14, 16, 18, 19, 20, 21];0
22;[13];[13];0
23;[2, 5, 8, 14, 15, 16, 18, 19, 20, 21];[2, 5, 8, 14, 15, 16, 18, 19, 20, 21];0
24;[19, 20, 21];[19, 20, 21];0
25;[13];[13];0
26;[1, 2, 3, 4, 7, 8, 11, 12, 13, 14, 19, 20, 21, 22, 23];[1, 2, 3, 4, 7, 8, 11, 12, 13, 14, 19, 20, 21, 22, 23];1
27;[12, 13];[12, 13];0
28;[13];[13];0
29;[2, 3, 4, 5, 6, 8, 12, 13, 19, 21];[2, 3, 4, 5, 6, 8, 12, 13, 19, 21];0
30;[5, 8, 14, 16, 18, 19, 20, 21];[5, 8, 14, 16, 18, 19, 20, 21];0
