0,P,0.44047122595841387
1,3,P,0.2686874498829135
1,4,P,0.26868744918506293
1,13,P,0.004404712293165586
1,12,P,0.004404712293162517
1,14,P,0.004404712293104351
1,11,P,0.004404712293104351
1,18,P,0.001101178073264018
1,19,P,0.0011011780732522417
1,7,P,6.525499693422052E-4
8,P,5.915311813011808E-4
9,P,5.915311563518826E-4
1,5,P,1.9074574334663097E-4
11,12,P,7.220839824862941E-5
11,17,P,7.22083982485649E-5
11,14,P,7.220839824761185E-5
11,16,P,7.22083980239098E-5
7,11,P,1.0697540479513383E-5
6,P,3.478344127924666E-6
5,11,P,3.1269794142641163E-6
21,P,1.7514742422999372E-7
