[Priors]
[0.61, 0.61, 0.61, 0.61, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002]
[Bugs]
0
1
2
3
[InitialTests]
0
7
1
2
[TestDetails]
0;[3, 4, 10, 11, 12];[3, 4, 10, 11, 12];1
1;[6, 7, 8];[6, 7, 8];0
2;[6, 7, 8];[6, 7, 8];0
3;[6, 7, 8];[6, 7, 8];0
4;[5, 9, 10, 11, 13, 14];[5, 9, 10, 11, 13, 14];0
5;[8];[8];0
6;[7, 10, 12];[7, 10, 12];0
7;[0, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 14];[0, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 14];1
8;[6, 7, 8];[6, 7, 8];0
9;[5];[5];0
10;[6, 7, 8];[6, 7, 8];0
11;[6, 7, 8];[6, 7, 8];0
12;[6, 7, 8];[6, 7, 8];0
13;[5];[5];0
14;[6, 7, 8];[6, 7, 8];0
15;[6, 7, 8];[6, 7, 8];0
16;[6, 7, 8];[6, 7, 8];0
17;[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13];[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13];1
18;[5];[5];0
19;[6, 7, 8];[6, 7, 8];0
20;[8];[8];0
