0,P,0.7861137132695257
2,3,P,0.05683215554621056
12,P,0.04009323094675629
10,P,0.01691433191713251
2,11,P,0.014208038884575504
3,9,P,0.014208038859570823
3,14,P,0.014208038859570823
6,P,0.009352949013810011
4,P,0.009352949013810011
1,2,P,0.005994016405957162
8,P,0.005939737985731522
7,P,0.005939737985731522
5,P,0.005939737985731522
11,14,P,0.003552009722057973
9,11,P,0.0035520097220565383
2,13,P,0.003219699559281034
1,9,P,0.001484877266848424
1,14,P,0.0014848772668484083
9,13,P,8.049248944516702E-4
13,14,P,8.049248943416427E-4
