1,P,0.8140800624273745
11,P,0.09008263060270673
0,13,P,0.05495040487054308
0,10,P,0.013737601191547343
0,4,P,0.005795550500564932
0,17,P,0.005795550500564932
0,19,P,0.003680555871177182
0,18,P,0.003113093049408466
0,9,P,0.0026973493169365494
8,P,0.001977122214220329
5,P,7.65957632510992E-4
2,P,7.65957632510992E-4
3,P,6.045343012142183E-4
6,P,4.892874765283615E-4
12,P,4.892874765283615E-4
7,P,2.8912357351156595E-4
13,16,P,2.2520657730695247E-4
13,14,P,2.2520657730695247E-4
13,15,P,7.379568763365455E-5
10,16,P,5.6301644341204404E-5
10,14,P,5.6301644341204404E-5
13,20,P,2.453195129475221E-5
10,15,P,1.8448922814827188E-5
10,20,P,6.138357111665332E-6
