1,P,0.5788973409846601
27,48,P,0.05788973453982692
27,52,P,0.0578897345398061
27,55,P,0.05788973453901283
27,50,P,0.05788973453901113
6,27,P,0.057889734517876504
27,54,P,0.057889734471797016
49,P,0.04742326427637301
27,47,P,0.014472433634925307
27,32,P,0.0025069106834654897
4,27,P,0.0018524484965530689
27,59,P,0.0017041700581755588
10,27,P,0.0015778751563233601
8,27,P,0.0015778751553158824
9,27,P,0.001217105175590932
27,58,P,0.0010389538472488234
22,P,9.655886988677219E-5
26,P,7.163029726035045E-5
29,P,5.425919908682897E-5
31,P,5.425919908682895E-5
24,P,4.185322527070905E-5
18,P,4.185322527070905E-5
23,P,3.280136817574101E-5
