[Priors]
[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
[Bugs]
0
1
[InitialTests]
10
28
0
1
[TestDetails]
0;[1, 3, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 20, 22, 23, 24, 25, 26, 28, 31];[1, 3, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 20, 22, 23, 24, 25, 26, 28, 31];0
1;[32];[32];0
2;[6, 32];[6, 32];0
3;[5, 6, 32];[5, 6, 32];0
4;[6, 32];[6, 32];0
5;[2, 3, 6, 7, 9, 11, 14, 16, 26, 28, 29, 30, 31];[2, 3, 6, 7, 9, 11, 14, 16, 26, 28, 29, 30, 31];0
6;[14, 16, 22, 25];[14, 16, 22, 25];0
7;[6, 7, 32];[6, 7, 32];0
8;[6, 7, 32];[6, 7, 32];0
9;[6, 32];[6, 32];0
10;[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32];[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32];1
11;[6, 7, 16, 26, 27, 28, 29, 30, 31, 32];[6, 7, 16, 26, 27, 28, 29, 30, 31, 32];0
12;[5, 6, 32];[5, 6, 32];0
13;[6, 7, 32];[6, 7, 32];0
14;[32];[32];0
15;[5, 8, 9, 11, 12, 14, 16, 28, 29, 30, 31, 32];[5, 8, 9, 11, 12, 14, 16, 28, 29, 30, 31, 32];0
16;[9, 14, 15, 16, 17, 24, 25, 30, 31];[9, 14, 15, 16, 17, 24, 25, 30, 31];0
17;[32];[32];0
18;[5, 6, 32];[5, 6, 32];0
19;[1, 3, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 18, 20, 22, 23, 24, 25, 26, 28, 31];[1, 3, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 18, 20, 22, 23, 24, 25, 26, 28, 31];0
20;[5, 6, 32];[5, 6, 32];0
21;[5, 6, 32];[5, 6, 32];0
22;[9, 14, 15, 16, 17, 19, 20, 24, 31];[9, 14, 15, 16, 17, 19, 20, 24, 31];0
23;[5, 6, 32];[5, 6, 32];0
24;[5, 32];[5, 32];0
25;[2, 3, 6, 7, 9, 11, 13, 14, 16, 26, 28, 29, 30, 31];[2, 3, 6, 7, 9, 11, 13, 14, 16, 26, 28, 29, 30, 31];0
26;[6, 7, 32];[6, 7, 32];0
27;[32];[32];0
28;[1, 3, 4, 9, 11, 14, 15, 16, 18, 21, 23, 25, 26, 28, 31];[1, 3, 4, 9, 11, 14, 15, 16, 18, 21, 23, 25, 26, 28, 31];1
29;[5, 6, 32];[5, 6, 32];0
30;[5, 6, 32];[5, 6, 32];0
