0,P,0.9702418903615307
1,2,P,0.009702418939439303
1,8,P,0.0024256047345222885
1,17,P,0.0024256047345222885
1,12,P,0.0024256047345222885
6,P,0.002356385870914073
3,P,0.002356385870914073
1,20,P,0.0014373953972225276
1,21,P,0.0010233019962032253
7,P,9.941002958432454E-4
5,P,9.941002958432454E-4
14,P,9.941002958432454E-4
13,P,9.941002958432454E-4
9,P,3.4909420707691143E-4
10,P,3.4909420707691143E-4
4,P,2.4142037462303531E-4
19,P,2.4142037462303531E-4
18,P,2.4142037462303531E-4
2,16,P,3.976401197136843E-5
2,11,P,3.976401197136843E-5
2,15,P,2.3563858970892158E-5
11,12,P,9.941003012895658E-6
8,16,P,9.941003012895623E-6
8,11,P,9.941003012895528E-6
12,16,P,9.941003012893263E-6
16,17,P,9.941003012891513E-6
11,17,P,9.941003012891513E-6
8,15,P,5.890964747706362E-6
12,15,P,5.890964747706362E-6
11,20,P,5.8909647477063485E-6
16,20,P,5.890964747706342E-6
15,17,P,5.890964714070756E-6
16,21,P,4.193860645634629E-6
11,21,P,4.193860645634629E-6
15,20,P,3.4909420730266116E-6
15,21,P,2.485250753137016E-6
