1,P,0.12735402431493512
2,6,P,0.1207504823809086
12,P,0.041731366675489684
11,P,0.041731366675489684
2,5,P,0.030187620563017947
2,47,P,0.030187620563017947
2,42,P,0.030187620563017947
2,40,P,0.030187620563017947
2,74,P,0.03018761960257305
2,3,P,0.03018761882143324
21,P,0.018867262845890884
10,P,0.018867262845890884
2,46,P,0.017888960353257627
2,19,P,0.017888960353257627
2,49,P,0.017888960349620755
2,43,P,0.017888960349620755
2,39,P,0.017888960349620755
2,20,P,0.017888960349620755
2,22,P,0.017888960320747698
2,64,P,0.017888960320747677
2,16,P,0.017888960320747677
2,14,P,0.012735402438645496
2,27,P,0.012735402438642834
2,66,P,0.012735402438552005
2,51,P,0.012735402438552005
2,41,P,0.012735402438552005
2,37,P,0.012735402438552005
2,73,P,0.01273540243849349
2,55,P,0.012735402328186015
2,31,P,0.012735402328186015
17,P,0.010134593266415835
2,50,P,0.009891879516194494
2,57,P,0.009891879516183845
2,48,P,0.009891879516183845
2,56,P,0.009891879515917102
2,44,P,0.009891879515917102
2,32,P,0.009891879515917102
2,24,P,0.009891879487961603
2,59,P,0.008087818446609572
2,53,P,0.008087818446609572
2,58,P,0.008087818428592835
2,36,P,0.008087818428592835
2,54,P,0.006840850449439535
2,52,P,0.006840850449439535
2,45,P,0.006840850449439535
2,33,P,0.006840850449272089
18,P,0.006072713101029508
61,P,0.006072713059577589
2,30,P,0.005927277476114993
2,38,P,0.005229090515247165
60,P,0.003926246438506144
2,35,P,0.002692625686439967
2,34,P,0.0025387149270097676
2,29,P,0.0024014421891021785
