0,1,2,P,0.8151648693180119
0,2,5,P,0.05345343410325302
0,2,66,P,0.01336335852585739
0,2,63,P,0.013363358491721183
0,2,56,P,0.00791902727358969
0,2,34,P,0.00791902727358969
0,2,59,P,0.0056376668674143595
0,2,68,P,0.0056376668636874865
0,2,50,P,0.00437890531115621
0,2,64,P,0.004378903023862985
0,2,61,P,0.004378903023862985
0,2,51,P,0.004378903023862985
0,2,9,P,0.004378902883161703
0,2,41,P,0.003580239744788002
0,2,62,P,0.0035801396753737005
0,2,42,P,0.0035800947300126456
0,2,22,P,0.003028280283576131
0,2,73,P,0.0030279256527901695
0,2,55,P,0.003027474349857099
0,2,33,P,0.002623712789230374
0,2,30,P,0.0026229439620779125
0,2,57,P,0.002622562970812961
0,2,43,P,0.002313884542076944
0,2,24,P,0.0023137533856365322
0,2,58,P,0.002067216126549042
0,2,26,P,0.0020670382234898753
0,2,48,P,0.0018688077146876117
0,2,67,P,0.0018686203196263533
0,2,29,P,0.001705603926154906
0,2,21,P,0.00170370365806507
0,2,27,P,0.0015643384673193796
0,2,7,P,0.00144335028357777
0,2,36,P,0.0012473785235688093
0,2,31,P,0.0011557383759468942
0,2,12,P,0.001098931204470005
0,2,14,P,9.760153124102489E-4
0,2,35,P,9.349312355737036E-4
0,2,25,P,9.32666237250121E-4
0,2,13,P,9.29558256737396E-4
0,2,72,P,8.813992340853714E-4
0,2,23,P,8.466237377995583E-4
11,P,2.2474952673306306E-5
85,P,1.1666140750205083E-5
