1,20,P,0.9989034281111681
1,15,P,6.187459293780556E-4
0,1,76,P,1.6935408880911935E-4
34,P,3.828873318070961E-5
39,P,3.5883692939536536E-5
0,1,30,P,2.4749837172145416E-5
0,1,33,P,2.474983717213746E-5
37,P,2.024036613592582E-5
0,1,69,P,1.8591134385369513E-5
0,1,32,P,1.4666570154345479E-5
0,1,35,P,1.4666570152423182E-5
0,1,86,P,1.4666570138461087E-5
0,1,85,P,1.0441337531988706E-5
0,1,36,P,1.0441337130235397E-5
1,11,P,8.572972141921853E-6
0,1,25,P,8.110026625994267E-6
0,1,29,P,6.630935536208225E-6
0,1,40,P,6.630931401309659E-6
0,1,31,P,5.6085880914581365E-6
0,1,21,P,4.859572430905844E-6
0,1,80,P,4.287154878247752E-6
0,1,68,P,3.835389120218387E-6
0,1,72,P,2.694351781763933E-6
0,1,28,P,2.3356473955705345E-6
0,1,22,P,2.193244506916515E-6
0,1,42,P,2.0695844107421216E-6
0,1,38,P,2.065776216836043E-6
0,1,24,P,1.9305207482674454E-6
0,1,70,P,1.8471849831385165E-6
0,1,74,P,1.6615618067604402E-6
0,1,75,P,1.5879881744834084E-6
0,1,26,P,1.5777815995222454E-6
0,1,77,P,1.5193307319029534E-6
0,1,71,P,1.5170443923399121E-6
0,1,73,P,1.4564425989816359E-6
0,1,78,P,1.4508585173606176E-6
0,1,79,P,1.379947869098935E-6
0,1,23,P,1.3226404283631903E-6
0,1,41,P,1.2367676214519896E-6
0,1,82,P,1.2082720894376647E-6
0,1,43,P,1.2061959990197147E-6
44,P,2.891724533313563E-7
