algorithm,pBug,pValid,times,index,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0,0,0,0,0,18,2,0,0
uniform,0,0,10,1,0,0,0,0,38,2,0,0
uniform,0,0,10,2,0.82,0.82,1.0,3.0,4,1,2.0,3.0
uniform,0,0,10,3,0,0,0,0,15,2,0,0
uniform,0,0,10,4,0,0,0,0,30,1,0,0
uniform,0,0,10,5,0.105,0.105,5.0,10.0,13,2,2.0,10.0
uniform,0,0,10,6,0,0,0,0,9,2,0,0
uniform,0,0,10,7,0,0,0,0,32,3,0,0
uniform,0,0,10,8,0,0,0,0,22,2,0,0
uniform,0,0,10,9,0,0,0,0,29,2,0,0
uniform,0,0,10,10,0,0,0,0,19,2,0,0
uniform,0,0,10,11,0,0,0,0,16,1,0,0
uniform,0,0,10,12,0,0,0,0,29,1,0,0
uniform,0,0,10,13,0,0,0,0,37,2,0,0
uniform,0,0,10,14,0,0,0,0,14,2,0,0
uniform,0,0,10,15,0.755,0.405,8.0,11.0,20,2,2.0,11.0
uniform,0,0,10,16,0,0,0,0,25,2,0,0
uniform,0,0,10,17,0,0,0,0,27,2,0,0
uniform,0,0,10,18,0,0,0,0,50,3,0,0
uniform,0,0,10,19,0,0,0,0,16,2,0,0
randomForest,0,0,10,0,0,0,0,0,18,2,0,0
randomForest,0,0,10,1,0.01,0.005,0.0,11.0,38,2,2.0,11.0
randomForest,0,0,10,2,0.87,0.87,1.0,3.0,4,1,2.0,3.0
randomForest,0,0,10,3,0.75,0.375,0.0,11.0,15,2,2.0,11.0
randomForest,0,0,10,4,0,0,0,0,30,1,0,0
randomForest,0,0,10,5,0.015,0.015,3.0,10.0,13,2,2.0,10.0
randomForest,0,0,10,6,0.78,0.39,0.0,11.0,9,2,2.0,11.0
randomForest,0,0,10,7,0,0,0,0,32,3,0,0
randomForest,0,0,10,8,0.375,0.37,2.0,10.0,22,2,2.0,10.0
randomForest,0,0,10,9,0.91,0.455,0.0,11.0,29,2,2.0,11.0
randomForest,0,0,10,10,0.78,0.425,4.0,11.0,19,2,2.0,11.0
randomForest,0,0,10,11,0,0,0,0,16,1,0,0
randomForest,0,0,10,12,0,0,0,0,29,1,0,0
randomForest,0,0,10,13,0.72,0.36,3.0,11.0,37,2,2.0,11.0
randomForest,0,0,10,14,0.94,0.47,0.0,11.0,14,2,2.0,11.0
randomForest,0,0,10,15,0,0,0,0,20,2,0,0
randomForest,0,0,10,16,0,0,0,0,25,2,0,0
randomForest,0,0,10,17,0,0,0,0,27,2,0,0
randomForest,0,0,10,18,0.8,0.3,6.0,11.0,50,3,2.0,11.0
randomForest,0,0,10,19,0,0,0,0,16,2,0,0
0.0,0.6,0.0,10,0,0.89,0.445,0.0,11.0,18,2,2.0,11.0
0.0,0.6,0.0,10,1,0.84,0.42,0.0,11.0,38,2,2.0,11.0
0.0,0.6,0.0,10,2,0.98,0.98,0.0,3.0,4,1,2.0,3.0
0.0,0.6,0.0,10,3,0.88,0.44,0.0,11.0,15,2,2.0,11.0
0.0,0.6,0.0,10,4,0.8,0.8,1.0,11.0,30,1,2.0,11.0
0.0,0.6,0.0,10,5,0.95,0.475,0.0,10.0,13,2,2.0,10.0
0.0,0.6,0.0,10,6,0.97,0.485,1.0,11.0,9,2,2.0,11.0
0.0,0.6,0.0,10,7,0.97,0.41,5.0,11.0,32,3,2.0,11.0
0.0,0.6,0.0,10,8,0.885,0.455,1.0,10.0,22,2,2.0,10.0
0.0,0.6,0.0,10,9,0.86,0.43,0.0,11.0,29,2,2.0,11.0
0.0,0.6,0.0,10,10,0.86,0.43,0.0,11.0,19,2,2.0,11.0
0.0,0.6,0.0,10,11,0.84,0.84,0.0,9.0,16,1,2.0,9.0
0.0,0.6,0.0,10,12,0.72,0.72,2.0,10.0,29,1,2.0,10.0
0.0,0.6,0.0,10,13,0.78,0.39,0.0,11.0,37,2,2.0,11.0
0.0,0.6,0.0,10,14,0.91,0.455,0.0,11.0,14,2,2.0,11.0
0.0,0.6,0.0,10,15,0.93,0.475,1.0,11.0,20,2,2.0,11.0
0.0,0.6,0.0,10,16,0.89,0.445,1.0,11.0,25,2,2.0,11.0
