algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.129166666667,0.0483333333333,1.5,1.83333333333,9.5,2.33333333333,0.333333333333,1.83333333333
randomForest,0,0,10,0.298333333333,0.155555555556,3.0,3.66666666667,9.5,2.33333333333,0.666666666667,3.66666666667
0.0,0.6,0.0,10,0.0,0.0,0.0,0,9.5,2.33333333333,0,0
0.1,0.6,0.1,10,0.3125,0.142777777778,3.0,3.66666666667,9.5,2.33333333333,0.666666666667,3.66666666667
0.2,0.6,0.2,10,0.3025,0.143333333333,3.0,3.66666666667,9.5,2.33333333333,0.666666666667,3.66666666667
uniform,0,0,20,0.0,0.0,0.0,0,16.0,3.33333333333,0,0
randomForest,0,0,20,0.310833333333,0.124206349206,5.66666666667,7.0,16.0,3.33333333333,1.33333333333,7.0
0.0,0.6,0.0,20,0.166666666667,0.0452380952381,2.83333333333,3.5,16.0,3.33333333333,0.666666666667,3.5
0.1,0.6,0.1,20,0.1625,0.0407142857143,2.83333333333,3.5,16.0,3.33333333333,0.666666666667,3.5
0.2,0.6,0.2,20,0.316944444444,0.110396825397,5.66666666667,7.0,16.0,3.33333333333,1.33333333333,7.0
uniform,0,0,30,0.0,0.0,0.0,0,17.8333333333,3.83333333333,0,0
randomForest,0,0,30,0.289166666667,0.0983333333333,7.5,8.83333333333,17.8333333333,3.83333333333,1.33333333333,8.83333333333
0.0,0.6,0.0,30,0.165,0.0397619047619,3.0,3.66666666667,17.8333333333,3.83333333333,0.666666666667,3.66666666667
0.1,0.6,0.1,30,0.0,0.0,0.0,0,17.8333333333,3.83333333333,0,0
0.2,0.6,0.2,30,0.159722222222,0.0416666666667,3.0,3.66666666667,17.8333333333,3.83333333333,0.666666666667,3.66666666667
uniform,0,0,40,0.0,0.0,0.0,0,18.3333333333,3.83333333333,0,0
randomForest,0,0,40,0.287222222222,0.100119047619,7.83333333333,9.83333333333,18.3333333333,3.83333333333,2.0,9.83333333333
0.0,0.6,0.0,40,0.0,0.0,0.0,0,18.3333333333,3.83333333333,0,0
0.1,0.6,0.1,40,0.163333333333,0.0445238095238,2.66666666667,3.66666666667,18.3333333333,3.83333333333,1.0,3.66666666667
0.2,0.6,0.2,40,0.307222222222,0.0914285714286,7.83333333333,9.83333333333,18.3333333333,3.83333333333,2.0,9.83333333333
