algorithm,pBug,pValid,times,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0.6525,0.325833333333,2.66666666667,7.66666666667,9.5,2.33333333333,1.66666666667,7.66666666667
randomForest,0,0,10,0.604166666667,0.3025,0.5,5.83333333333,9.5,2.33333333333,1.33333333333,5.83333333333
0.0,0.6,0.0,10,0.9625,0.455833333333,2.16666666667,9.5,9.5,2.33333333333,2.0,9.5
0.1,0.6,0.1,10,0.5475,0.295833333333,1.16666666667,5.83333333333,9.5,2.33333333333,1.33333333333,5.83333333333
0.2,0.6,0.2,10,0.548333333333,0.303333333333,2.0,5.83333333333,9.5,2.33333333333,1.33333333333,5.83333333333
uniform,0,0,20,0.824166666667,0.317043650794,3.33333333333,15.6666666667,16.0,3.33333333333,4.0,15.6666666667
randomForest,0,0,20,0.6075,0.264166666667,0.0,8.66666666667,16.0,3.33333333333,2.66666666667,8.66666666667
0.0,0.6,0.0,20,0.811666666667,0.356388888889,0.833333333333,12.1666666667,16.0,3.33333333333,3.33333333333,12.1666666667
0.1,0.6,0.1,20,0.713611111111,0.322222222222,3.5,12.1666666667,16.0,3.33333333333,3.33333333333,12.1666666667
0.2,0.6,0.2,20,0.552777777778,0.267916666667,3.5,8.66666666667,16.0,3.33333333333,2.66666666667,8.66666666667
uniform,0,0,30,0.83,0.297757936508,4.0,19.0,17.8333333333,3.83333333333,4.0,19.0
randomForest,0,0,30,0.6025,0.248611111111,0.0,10.1666666667,17.8333333333,3.83333333333,2.66666666667,10.1666666667
0.0,0.6,0.0,30,0.8075,0.323194444444,1.5,15.3333333333,17.8333333333,3.83333333333,3.33333333333,15.3333333333
0.1,0.6,0.1,30,0.844444444444,0.312876984127,3.16666666667,19.0,17.8333333333,3.83333333333,4.0,19.0
0.2,0.6,0.2,30,0.701388888889,0.298611111111,4.83333333333,15.3333333333,17.8333333333,3.83333333333,3.33333333333,15.3333333333
uniform,0,0,40,0.821666666667,0.298293650794,2.66666666667,20.0,18.3333333333,3.83333333333,5.66666666667,20.0
randomForest,0,0,40,0.625833333333,0.260277777778,0.0,10.1666666667,18.3333333333,3.83333333333,3.66666666667,10.1666666667
0.0,0.6,0.0,40,0.808333333333,0.321388888889,0.5,16.3333333333,18.3333333333,3.83333333333,4.66666666667,16.3333333333
0.1,0.6,0.1,40,0.703055555556,0.291666666667,4.0,16.3333333333,18.3333333333,3.83333333333,4.66666666667,16.3333333333
0.2,0.6,0.2,40,0.554166666667,0.255555555556,1.66666666667,10.1666666667,18.3333333333,3.83333333333,3.66666666667,10.1666666667
