algorithm,pBug,pValid,times,precision_avg,recall_avg,auc_avg,wasted_avg,tests_avg,files_avg,bugged_avg
uniform,0,0,10,0.643869410699,0.446308101672,0.827704678363,1.73684210526,9.47368421053,11.6315789474,1.57894736842
randomForest,0,0,10,0.789964774034,0.562579539889,0.842105263158,1.47368421053,9.47368421053,11.6315789474,1.57894736842
0.0,0.6,0.0,10,0.978781136066,0.718689016059,0.939035087719,0.578947368421,9.47368421053,11.6315789474,1.57894736842
0.1,0.6,0.1,10,0.843129945757,0.610227305628,0.940570175439,0.526315789474,9.47368421053,11.6315789474,1.57894736842
0.2,0.6,0.2,10,0.75893347558,0.548660601489,0.90350877193,0.631578947368,9.47368421053,11.6315789474,1.57894736842
uniform,0,0,20,0.732135979726,0.427484140813,0.797447157261,3.15789473684,17.7368421053,23.5263157895,2.05263157895
randomForest,0,0,20,0.888009790657,0.540946578307,0.798543648489,2.57894736842,17.7368421053,23.5263157895,2.05263157895
0.0,0.6,0.0,20,0.989417849215,0.609466240465,0.84700856077,2.36842105263,17.7368421053,23.5263157895,2.05263157895
0.1,0.6,0.1,20,0.895805100452,0.559480392122,0.841964701121,2.31578947368,17.7368421053,23.5263157895,2.05263157895
0.2,0.6,0.2,20,0.813910937603,0.507665037337,0.844376981822,2.26315789474,17.7368421053,23.5263157895,2.05263157895
uniform,0,0,30,0.749230220635,0.424502281892,0.759764789594,3.89473684211,25.0,30.9473684211,2.21052631579
randomForest,0,0,30,0.905742086267,0.533189271104,0.787930556575,2.94736842105,25.0,30.9473684211,2.21052631579
0.0,0.6,0.0,30,0.991308134956,0.593090350796,0.812711258329,2.94736842105,25.0,30.9473684211,2.21052631579
0.1,0.6,0.1,30,0.904774958616,0.546755102259,0.80766739868,2.89473684211,25.0,30.9473684211,2.21052631579
0.2,0.6,0.2,30,0.81891054227,0.491714104879,0.794728802189,2.94736842105,25.0,30.9473684211,2.21052631579
uniform,0,0,40,0.749517454904,0.426292860871,0.757792049739,4.0,29.2631578947,33.7368421053,2.21052631579
randomForest,0,0,40,0.90899132523,0.535891693814,0.78595781672,3.05263157895,29.2631578947,33.7368421053,2.21052631579
0.0,0.6,0.0,40,0.991371889598,0.593142673818,0.810738518475,3.05263157895,29.2631578947,33.7368421053,2.21052631579
0.1,0.6,0.1,40,0.905301680436,0.547144290467,0.805694658826,3.0,29.2631578947,33.7368421053,2.21052631579
0.2,0.6,0.2,40,0.819496788504,0.492000003325,0.792756062334,3.05263157895,29.2631578947,33.7368421053,2.21052631579
