algorithm,pBug,pValid,times,index,precision,recall,auc,wasted,tests,files,bugged,bugsIDS,pack
uniform,0,0,10,0,0.718406529827,0.718406529827,1.0,0,11,20,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\filter'"
uniform,0,0,10,1,0.899568675977,0.452772938257,0.633333333333,4,8,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index'"
uniform,0,0,10,2,0.158035804634,0.158035804634,0.666666666667,2,7,4,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\type\\tree'"
uniform,0,0,10,3,0.131456827681,0.131456827681,0.666666666667,2,4,6,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\id'"
uniform,0,0,10,4,0.909090908786,0.909090908786,1.0,0,11,11,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\intent'"
uniform,0,0,10,5,0.267096294137,0.267096294137,1.0,0,11,23,1,5,"""['src\\test\\java\\com\\orientechnologies\\orient\\core\\index'"
uniform,0,0,10,6,0.74647665057,0.74647665057,1.0,0,11,10,1,5,"""['src\\test\\java\\com\\orientechnologies\\common\\concur\\lock'"
uniform,0,0,10,7,0.947986829334,0.476479877116,0.6625,3,11,7,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\sql\\functions\\coll'"
uniform,0,0,10,8,0.178807947044,0.178807947044,0.75,1,4,3,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\metadata\\schema'"
uniform,0,0,10,9,0.779062167475,0.408080183028,0.75,2,11,15,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\command'"
uniform,0,0,10,10,0.574104677357,0.287052338678,0.875,2,11,8,2,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\index'"
uniform,0,0,10,11,0.777511142222,0.407267741229,0.708333333333,2,6,7,2,5,"""['src\\main\\java\\com\\orientechnologies\\common\\util'"
uniform,0,0,10,12,0.836651109704,0.836651109704,1.0,0,11,9,1,5,"""['src\\main\\java\\com\\orientechnologies\\orient\\core\\storage\\impl\\memory'"
